gene_name	log2_fold_change	FDR_adjusted_p_value	ref_allele	non_ref_allele	sample_size
ENSG00000082684|SEMA5B	-0.0960191696343742	0.259212901353207	AD	Control	238
ENSG00000065609|SNAP91	-0.249570263961367	0.0472980904932674	AD	Control	238
ENSG00000083444|PLOD1	0.253610389537402	0.0040497319385891	AD	Control	238
ENSG00000083544|TDRD3	-0.0028442112646587	0.974371214942945	AD	Control	238
ENSG00000083720|OXCT1	-0.286073681242615	0.0164043571154195	AD	Control	238
ENSG00000083812|ZNF324	-0.0247237993333486	0.686844211046655	AD	Control	238
ENSG00000083817|ZNF416	-0.0674432453357764	0.436035531415673	AD	Control	238
ENSG00000083845|RPS5	0.108539434771084	0.354386272851442	AD	Control	238
ENSG00000084444|FAM234B	-0.270158853037696	0.0340017323531611	AD	Control	238
ENSG00000085514|PILRA	0.325954710113859	0.0056461698874611	AD	Control	238
ENSG00000085721|RRN3	-0.0958621771442257	0.211309005283367	AD	Control	238
ENSG00000166391|MOGAT2	0.20437759974302	0.613466475482821	AD	Control	238
ENSG00000085872|CHERP	0.112807647218075	0.271515318842518	AD	Control	238
ENSG00000167580|AQP2	0.651751548404017	1.0	AD	Control	238
ENSG00000086189|DIMT1	0.0008244293782098	0.994608165066251	AD	Control	238
ENSG00000086232|EIF2AK1	-0.154072420986793	0.0170680430067863	AD	Control	238
ENSG00000086288|NME8	0.327451365599208	0.205522398678872	AD	Control	238
ENSG00000086289|EPDR1	-0.185342484202262	0.274445865857408	AD	Control	238
ENSG00000086504|MRPL28	-0.183181629556947	0.0874693787150416	AD	Control	238
ENSG00000086506|HBQ1	-0.513285248657419	0.0070160314250036	AD	Control	238
ENSG00000086548|CEACAM6	0.24562960155114	0.237025654368631	AD	Control	238
ENSG00000086589|RBM22	0.0577182264735821	0.407537684597174	AD	Control	238
ENSG00000086696|HSD17B2	0.0632977767663355	0.564426699651357	AD	Control	238
ENSG00000078018|MAP2	-0.242675705293718	0.027335491250649	AD	Control	238
ENSG00000086827|ZW10	-0.137358829930813	0.115921981438816	AD	Control	238
ENSG00000132470|ITGB4	0.476756356766644	0.0056162162149035	AD	Control	238
ENSG00000087074|PPP1R15A	0.0346288518170417	0.852204609018796	AD	Control	238
ENSG00000087077|TRIP6	0.303561834768306	0.0060885652974109	AD	Control	238
