gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000079616|KIF22	-0.316860396	6.66303e-11	AD	Control	160
ENSG00000079385|CEACAM1	0.035366243	2.57775e-05	AD	Control	160
ENSG00000047188|YTHDC2	-0.011148492	2.76804e-05	AD	Control	160
ENSG00000064545|TMEM161A	-0.085945835	5.58221e-06	AD	Control	160
ENSG00000050820|BCAR1	-0.105359971	8.79868e-06	AD	Control	160
ENSG00000065970|FOXJ2	-0.064649094	3.01443e-06	AD	Control	160
ENSG00000067182|TNFRSF1A	0.45086395	6.43833e-09	AD	Control	160
ENSG00000066455|GOLGA5	-0.031368821	1.90133e-05	AD	Control	160
ENSG00000067365|METTL22	-0.320368896	2.77345e-10	AD	Control	160
ENSG00000008300|CELSR3	0.016409698	2.74622e-05	AD	Control	160
ENSG00000068971|PPP2R5B	-0.126440658	1.00308e-06	AD	Control	160
ENSG00000068976|PYGM	0.590955024	3.19895e-10	AD	Control	160
ENSG00000069399|BCL3	0.159727435	9.31559e-06	AD	Control	160
ENSG00000069424|KCNAB2	-0.067717884	2.06254e-05	AD	Control	160
ENSG00000069943|PIGB	-0.370408582	6.33971e-10	AD	Control	160
ENSG00000067840|PDZD4	-0.13974232	5.61117e-06	AD	Control	160
ENSG00000185864|NPIPB4	-0.208255986	1.68341e-06	AD	Control	160
ENSG00000068615|REEP1	-0.266003119	2.69407e-06	AD	Control	160
ENSG00000070404|FSTL3	-0.057110067	1.95309e-05	AD	Control	160
ENSG00000070886|EPHA8	0.256364779	3.07629e-06	AD	Control	160
ENSG00000071539|TRIP13	-0.013623375	2.8628e-05	AD	Control	160
ENSG00000072682|P4HA2	0.121217525	9.43906e-06	AD	Control	160
ENSG00000071246|VASH1	-0.212217082	3.63985e-07	AD	Control	160
ENSG00000071994|PDCD2	-0.031259049	1.60167e-05	AD	Control	160
ENSG00000073350|LLGL2	-0.291622023	1.46961e-06	AD	Control	160
ENSG00000186847|KRT14	0.003445269	3.06673e-05	AD	Control	160
ENSG00000171431|KRT20	0.049190005	3.06673e-05	AD	Control	160
ENSG00000074964|ARHGEF10L	0.271931201	1.61491e-10	AD	Control	160
ENSG00000072506|HSD17B10	0.007650298	2.87714e-05	AD	Control	160
ENSG00000076344|RGS11	-0.654619641	1.49869e-16	AD	Control	160
ENSG00000077009|NMRK2	-0.579817213	2.19088e-07	AD	Control	160
ENSG00000127241|MASP1	0.334086279	9.01463e-07	AD	Control	160
ENSG00000073849|ST6GAL1	0.187994937	4.05573e-06	AD	Control	160
ENSG00000075336|TIMM21	0.123356462	1.00317e-07	AD	Control	160
ENSG00000078898|BPIFB2	-0.591717165	9.42564e-06	AD	Control	160
ENSG00000079313|REXO1	-0.099524833	4.14178e-06	AD	Control	160
ENSG00000075975|MKRN2	0.099886212	1.44038e-06	AD	Control	160
ENSG00000076650|GPATCH1	-0.14763855	9.78651e-09	AD	Control	160
ENSG00000077238|IL4R	0.166900592	1.37812e-05	AD	Control	160
ENSG00000079999|KEAP1	0.001109986	3.04124e-05	AD	Control	160
ENSG00000078589|P2RY10	0.940089936	6.99695e-07	AD	Control	160
ENSG00000079308|TNS1	0.163833438	6.80492e-06	AD	Control	160
