MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
ENSG00000172150|OR1A2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000107331|ABCA2	ad	control	319.00	-0.776	0.4379	-+	94.2	17.176	1	3.407e-05
ENSG00000155465|SLC7A7	ad	control	319.00	1.745	0.08102	-+	76.3	4.227	1	0.03978
ENSG00000158639|PAGE5	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000136197|C7orf25	ad	control	319.00	-0.328	0.7433	+-	47.1	1.890	1	0.1693
ENSG00000282178|IGKV1OR10-1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000168237|GLYCTK	ad	control	319.00	-2.481	0.0131	--	77.1	4.375	1	0.03647
ENSG00000283826|SMG1P4	ad	control	319.00	-0.099	0.9209	+-	0.0	0.552	1	0.4573
ENSG00000156172|C8orf37	ad	control	319.00	2.172	0.02982	++	64.8	2.840	1	0.09192
ENSG00000161677|JOSD2	ad	control	319.00	-2.124	0.03365	-+	89.8	9.759	1	0.001784
ENSG00000257384|AC009779.1	ad	control	319.00	0.285	0.7754	+0	0.0	0.081	1	0.776
ENSG00000197619|ZNF615	ad	control	319.00	2.347	0.01892	++	69.4	3.272	1	0.07047
ENSG00000178607|ERN1	ad	control	319.00	1.439	0.15	++	0.0	0.000	1	0.9828
ENSG00000112249|ASCC3	ad	control	319.00	0.470	0.6381	+-	83.6	6.083	1	0.01365
ENSG00000265853|AL353996.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000235449|AC098934.3	ad	control	319.00	0.133	0.8939	++	0.0	0.014	1	0.9059
ENSG00000151376|ME3	ad	control	319.00	-2.797	0.005152	--	6.4	1.068	1	0.3013
ENSG00000257604|AC027288.2	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000254264|IGKV3OR22-2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000180245|RRH	ad	control	319.00	0.955	0.3394	+-	51.7	2.070	1	0.1502
ENSG00000259262|NDUFA3P4	ad	control	319.00	-1.585	0.1129	-0	59.9	2.497	1	0.1141
ENSG00000164440|TXLNB	ad	control	319.00	0.192	0.8479	++	0.0	0.002	1	0.9615
ENSG00000259102|SMARCE1P3	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000179403|VWA1	ad	control	319.00	-0.100	0.92	-+	73.5	3.774	1	0.05205
ENSG00000165526|RPUSD4	ad	control	319.00	-0.438	0.6612	-+	82.8	5.816	1	0.01588
ENSG00000237979|AC007389.4	ad	control	319.00	-1.393	0.1636	--	13.4	1.155	1	0.2825
ENSG00000236148|RPL23AP37	ad	control	319.00	-0.262	0.7931	-0	0.0	0.068	1	0.7938
ENSG00000175302|ANKRD30BP1	ad	control	319.00	-1.042	0.2974	-0	7.3	1.079	1	0.2989
ENSG00000234557|PPIAP90	ad	control	319.00	-0.302	0.7626	-+	0.0	0.375	1	0.5401
ENSG00000138395|CDK15	ad	control	319.00	-0.735	0.4625	--	0.0	0.467	1	0.4944
ENSG00000259823|LYPD8	ad	control	319.00	-1.397	0.1625	--	0.0	0.228	1	0.6328
ENSG00000065526|SPEN	ad	control	319.00	1.440	0.1499	++	20.6	1.260	1	0.2616
ENSG00000137331|IER3	ad	control	319.00	1.102	0.2706	++	0.0	0.999	1	0.3175
ENSG00000134256|CD101	ad	control	319.00	-3.231	0.001232	--	70.1	3.339	1	0.06765
ENSG00000153140|CETN3	ad	control	319.00	-0.467	0.6408	--	0.0	0.041	1	0.8386
ENSG00000229375|USP24P1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000204437|CTSLP6	ad	control	319.00	0.296	0.7675	+0	0.0	0.087	1	0.7682
ENSG00000243503|AC090453.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
