gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000070031|SCT	0.594380498	1.76142e-06	AD	Control	232
ENSG00000072210|ALDH3A2	0.185439797	3.91697e-08	AD	Control	232
ENSG00000072786|STK10	0.278495807	4.31618e-07	AD	Control	232
ENSG00000073861|TBX21	1.010760673	2.9692e-07	AD	Control	232
ENSG00000074071|MRPS34	-0.217340087	1.88735e-06	AD	Control	232
ENSG00000074410|CA12	0.007572399	3.00035e-05	AD	Control	232
ENSG00000137764|MAP2K5	-0.053862573	1.30473e-05	AD	Control	232
ENSG00000078237|TIGAR	0.020955051	2.70562e-05	AD	Control	232
ENSG00000078579|FGF20	0.21783793	1.01669e-05	AD	Control	232
ENSG00000003987|MTMR7	-0.272671343	1.79116e-08	AD	Control	232
ENSG00000080618|CPB2	0.097772597	1.516e-05	AD	Control	232
ENSG00000065809|FAM107B	0.454264652	1.92066e-09	AD	Control	232
ENSG00000065883|CDK13	0.061807994	7.57228e-06	AD	Control	232
ENSG00000064763|FAR2	-0.184045652	3.30662e-07	AD	Control	232
ENSG00000065308|TRAM2	0.351347816	5.25456e-10	AD	Control	232
ENSG00000066405|CLDN18	0.298792545	1.43443e-07	AD	Control	232
ENSG00000065371|ROPN1	-0.005268981	2.99521e-05	AD	Control	232
ENSG00000065518|NDUFB4	-0.151533974	4.35422e-06	AD	Control	232
ENSG00000068097|HEATR6	0.052992084	1.08093e-05	AD	Control	232
ENSG00000068912|ERLEC1	-0.190692556	3.77284e-07	AD	Control	232
ENSG00000112782|CLIC5	0.131650193	1.28689e-05	AD	Control	232
ENSG00000075568|TMEM131	-0.004939267	2.93732e-05	AD	Control	232
ENSG00000172995|ARPP21	-0.45495526	3.85966e-10	AD	Control	232
ENSG00000007129|CEACAM21	0.303035263	4.89444e-06	AD	Control	232
ENSG00000072954|TMEM38A	-0.316599587	2.32965e-09	AD	Control	232
ENSG00000073008|PVR	-0.075234532	1.33506e-05	AD	Control	232
ENSG00000159885|ZNF222	-0.215424515	1.10892e-07	AD	Control	232
ENSG00000170848|PSG6	-0.182835591	7.00419e-06	AD	Control	232
ENSG00000075089|ACTR6	-0.142601032	1.5951e-06	AD	Control	232
ENSG00000075415|SLC25A3	-0.120900409	5.42441e-06	AD	Control	232
ENSG00000012504|NR1H4	0.098115129	1.5895e-05	AD	Control	232
ENSG00000078098|FAP	0.35596631	1.93322e-07	AD	Control	232
ENSG00000077150|NFKB2	0.768425089	3.77899e-10	AD	Control	232
ENSG00000030304|MUSK	0.423023529	4.92518e-07	AD	Control	232
ENSG00000064218|DMRT3	-0.180431567	1.76245e-05	AD	Control	232
ENSG00000079156|OSBPL6	-0.240103462	3.9765e-09	AD	Control	232
ENSG00000064205|WISP2	0.056594099	1.71591e-05	AD	Control	232
ENSG00000064601|CTSA	-0.032903492	2.32309e-05	AD	Control	232
ENSG00000134461|ANKRD16	-0.126059791	1.35943e-06	AD	Control	232
ENSG00000154252|GAL3ST2	0.499773666	1.69394e-05	AD	Control	232
ENSG00000065060|UHRF1BP1	0.037472566	8.79029e-06	AD	Control	232
ENSG00000081087|OSTM1	0.179857166	9.52251e-08	AD	Control	232
ENSG00000081148|IMPG2	-0.070092447	1.34578e-05	AD	Control	232
ENSG00000072110|ACTN1	-0.178204008	2.35061e-06	AD	Control	232
ENSG00000249437|NAIP	0.359125268	2.56607e-07	AD	Control	232
ENSG00000081791|DELE1	-0.079702197	6.63706e-06	AD	Control	232
ENSG00000081800|SLC13A1	-0.092849471	2.19025e-05	AD	Control	232
ENSG00000081818|PCDHB4	0.323296535	5.74991e-10	AD	Control	232
ENSG00000112852|PCDHB2	-0.188244586	4.57269e-07	AD	Control	232
ENSG00000081870|HSPB11	-0.077951157	8.80704e-06	AD	Control	232
ENSG00000082146|STRADB	0.052460791	1.89202e-05	AD	Control	232
ENSG00000082269|FAM135A	-0.004034737	2.97547e-05	AD	Control	232
ENSG00000082458|DLG3	-0.402866691	3.99301e-09	AD	Control	232
ENSG00000082684|SEMA5B	-0.222997551	1.3744e-07	AD	Control	232
ENSG00000065609|SNAP91	-0.458805429	4.62e-10	AD	Control	232
ENSG00000083444|PLOD1	0.2344053	1.09622e-06	AD	Control	232
ENSG00000083544|TDRD3	0.202585717	5.33637e-07	AD	Control	232
ENSG00000083720|OXCT1	-0.286898311	1.91543e-07	AD	Control	232
ENSG00000083812|ZNF324	-0.080936953	1.37851e-05	AD	Control	232
ENSG00000083817|ZNF416	-0.073510781	9.92774e-06	AD	Control	232
ENSG00000083845|RPS5	0.017792614	2.7868e-05	AD	Control	232
ENSG00000084444|FAM234B	-0.408320192	1.68012e-09	AD	Control	232
ENSG00000085514|PILRA	0.293836298	1.99176e-07	AD	Control	232
ENSG00000085721|RRN3	-0.008791101	2.86331e-05	AD	Control	232
ENSG00000166391|MOGAT2	0.719065107	1.19884e-06	AD	Control	232
ENSG00000085872|CHERP	0.106919962	1.2735e-05	AD	Control	232
ENSG00000167580|AQP2	0.557592065	1.31796e-05	AD	Control	232
ENSG00000086189|DIMT1	0.223221771	2.03238e-07	AD	Control	232
ENSG00000086232|EIF2AK1	0.001351888	3.03005e-05	AD	Control	232
ENSG00000086288|NME8	0.899955624	2.69741e-09	AD	Control	232
ENSG00000086289|EPDR1	-0.333174893	1.95026e-07	AD	Control	232
ENSG00000086504|MRPL28	-0.440794094	2.09863e-09	AD	Control	232
ENSG00000086506|HBQ1	-0.636508268	4.75645e-09	AD	Control	232
ENSG00000086548|CEACAM6	-0.050929688	2.51637e-05	AD	Control	232
ENSG00000086589|RBM22	0.07561347	9.37066e-06	AD	Control	232
ENSG00000078018|MAP2	-0.36392092	7.86488e-09	AD	Control	232
ENSG00000086827|ZW10	-0.049551964	1.72985e-05	AD	Control	232
ENSG00000132470|ITGB4	0.842744186	2.58821e-11	AD	Control	232
ENSG00000087074|PPP1R15A	0.224658101	4.41822e-06	AD	Control	232
ENSG00000087077|TRIP6	0.441560959	6.58246e-09	AD	Control	232
ENSG00000073670|ADAM11	-0.546234407	2.44295e-10	AD	Control	232
ENSG00000005893|LAMP2	0.564193534	3.10992e-11	AD	Control	232
ENSG00000197208|SLC22A4	0.201247348	2.23059e-07	AD	Control	232
ENSG00000087237|CETP	0.147492522	2.71463e-06	AD	Control	232
