Gene,AD vs Control: Parietal White Matter - Log2(fold change) - RIN Corrected,AD vs Control: White Matter - SVA P-value -  RIN corrected
ARHGAP22,-0.133,3.03E-01
ARHGAP23,-0.233,1.46E-01
ARHGAP23P1,-0.130,2.64E-01
ARHGAP24,0.153,1.61E-01
ARHGAP25,-0.079,6.14E-01
ARHGAP26,0.095,2.52E-01
ARHGAP26-IT1,0.007,4.97E-01
ARHGAP27,-0.032,5.64E-01
ARHGAP29,0.086,4.89E-01
ARHGAP30,-0.124,2.93E-01
ARHGAP31,0.157,2.30E-01
ARHGAP32,0.353,7.40E-02
ARHGAP33,0.017,8.99E-01
ARHGAP35,0.126,9.14E-02
ARHGAP36,-0.029,7.62E-01
ARHGAP39,0.156,2.73E-01
ARHGAP4,-0.077,4.16E-01
ARHGAP42,0.079,2.80E-01
ARHGAP42P3,0.039,3.70E-01
ARHGAP44,0.243,2.15E-01
ARHGAP5,-0.060,4.71E-01
ARHGAP5-AS1,0.092,2.29E-01
ARHGAP6,-0.085,3.87E-01
ARHGAP9,0.062,4.02E-01
ARHGDIA,0.026,9.99E-01
ARHGDIB,-0.152,7.15E-01
ARHGDIG,0.211,2.27E-01
ARHGEF1,-0.176,1.48E-01
ARHGEF10,-0.152,2.88E-01
ARHGEF10L,0.115,2.98E-01
ARHGEF11,0.289,7.22E-02
ARHGEF12,0.161,1.04E-01
ARHGEF17,0.342,5.69E-02
ARHGEF18,-0.034,5.31E-01
ARHGEF2,-0.134,1.30E-01
ARHGEF25,0.452,8.57E-02
ARHGEF26,0.162,8.49E-02
ARHGEF26-AS1,0.060,1.30E-01
ARHGEF28,0.207,1.34E-01
ARHGEF3,0.017,6.24E-01
ARHGEF33,0.230,5.92E-02
ARHGEF37,-0.298,9.35E-02
ARHGEF39,-0.032,4.97E-01
ARHGEF4,0.116,2.80E-01
ARHGEF40,-0.021,6.11E-01
ARHGEF6,-0.079,8.70E-01
ARHGEF7,0.057,4.34E-01
ARHGEF9,0.031,6.17E-01
ARID1A,-0.006,8.74E-01
ARID1B,0.036,4.69E-01
ARID2,-0.106,2.02E-01
ARID4A,0.007,9.98E-01
ARID4B,-0.087,1.72E-01
ARID5A,-0.003,9.25E-01
ARID5B,-0.004,9.50E-01
ARIH1,-0.011,9.77E-01
ARIH2,-0.140,9.05E-02
ARIH2OS,0.002,6.91E-01
ARL1,-0.057,7.80E-01
ARL10,0.091,6.34E-02
ARL13B,-0.123,1.18E-01
ARL14EP,0.010,6.90E-01
ARL15,0.009,9.44E-01
ARL16,0.062,4.08E-01
ARL17A,0.009,9.64E-01
ARL17B,-0.015,7.28E-01
ARL2,-0.071,4.84E-01
ARL2-SNX15,-0.173,4.66E-01
ARL2BP,0.044,2.87E-01
ARL2BPP10,0.041,5.75E-01
ARL2BPP9,-0.041,7.48E-01
ARL3,0.057,3.90E-01
ARL4A,0.213,1.65E-01
ARL4C,0.096,2.84E-01
ARL4D,0.179,3.95E-01
ARL5A,-0.140,2.28E-01
ARL5AP1,0.065,1.43E-01
ARL5B,-0.060,6.96E-01
ARL6,0.048,5.46E-01
ARL6IP1,0.021,4.95E-01
ARL6IP4,-0.027,7.14E-01
ARL6IP5,-0.121,4.76E-01
ARL6IP6,-0.055,7.39E-01
ARL8A,-0.096,2.15E-01
ARL8B,-0.035,9.10E-01
ARMC1,-0.153,6.16E-02
ARMC10,-0.146,6.79E-02
ARMC10P1,-0.029,7.10E-01
ARMC2,0.047,5.47E-01
ARMC3,0.092,6.83E-01
ARMC5,0.037,6.42E-01
ARMC6,0.038,8.72E-01
ARMC7,0.065,5.75E-01
ARMC8,-0.054,5.27E-01
ARMC9,0.284,1.07E-01
ARMCX1,0.050,5.45E-01
ARMCX2,0.052,2.59E-01
ARMCX3,-0.085,3.66E-01
ARMCX4,0.002,9.80E-01
ARMCX5,-0.029,6.14E-01
ARMCX5-GPRASP2,0.100,2.03E-01
ARMCX6,-0.047,4.42E-01
ARMT1,-0.027,7.62E-01
ARNT,-0.025,5.38E-01
ARNT2,0.124,2.36E-01
ARNTL,0.183,9.79E-02
ARNTL2,0.127,3.17E-01
ARPC1A,0.000,8.84E-01
ARPC1B,-0.172,2.10E-01
ARPC2,-0.016,8.42E-01
ARPC3,-0.140,2.33E-01
ARPC3P1,-0.060,4.48E-01
ARPC4,-0.055,3.68E-01
ARPC4-TTLL3,-0.121,1.92E-01
ARPC5,-0.166,1.45E-01
ARPC5L,-0.004,8.54E-01
ARPIN,-0.088,2.11E-01
ARPP19,-0.132,9.70E-02
ARPP21,0.535,8.49E-02
ARRB1,0.248,6.03E-02
ARRB2,0.047,3.98E-01
ARRDC1,0.101,2.91E-01
ARRDC1-AS1,0.082,4.39E-01
ARRDC2,-0.214,3.54E-01
ARRDC3,-0.149,4.13E-01
ARRDC3-AS1,0.033,6.47E-01
ARRDC4,-0.222,2.14E-01
ARSA,-0.020,6.02E-01
ARSB,-0.034,7.78E-01
ARSD,-0.068,2.58E-01
ARSDP1,0.138,2.51E-01
ARSF,0.017,3.00E-01
ARSG,-0.045,8.03E-01
ARSJ,0.093,2.30E-01
ARSK,0.065,2.47E-01
ART3,0.234,1.24E-01
ARV1,-0.076,2.87E-01
ARVCF,0.153,3.18E-01
AS3MT,-0.085,1.12E-01
ASAH1,-0.157,2.27E-01
ASAH2B,0.004,8.81E-01
ASAP1,0.033,5.01E-01
ASAP1-IT1,-0.002,7.09E-01
ASAP1-IT2,0.062,3.36E-01
ASAP2,0.033,4.08E-01
ASAP3,0.019,6.96E-01
ASB1,-0.057,8.49E-02
ASB11,0.006,8.75E-01
ASB13,0.039,8.18E-01
ASB14,-0.079,3.51E-01
ASB16-AS1,0.023,9.85E-01
ASB2,0.159,2.17E-01
ASB3,-0.055,8.24E-01
ASB4,0.007,8.96E-01
ASB6,0.088,2.34E-01
ASB7,-0.022,6.80E-01
ASB8,-0.004,9.74E-01
ASCC1,-0.100,3.30E-01
ASCC2,-0.042,2.63E-01
ASCC3,-0.101,1.70E-01
ASCL1,0.093,2.56E-01
ASF1A,-0.095,2.14E-01
ASH1L,0.006,6.88E-01
ASH1L-AS1,-0.064,4.08E-01
ASH2L,-0.080,4.75E-01
ASIC1,0.052,4.23E-01
ASIC2,0.272,1.40E-01
ASIC3,-0.073,4.18E-01
ASIC4,0.100,7.88E-01
ASL,0.010,7.45E-01
ASLP1,0.009,9.72E-01
ASMTL,-0.058,2.33E-01
ASMTL-AS1,0.058,7.99E-01
ASNA1,0.063,2.97E-01
ASNS,0.163,2.64E-01
ASNSD1,-0.021,9.98E-01
ASPA,-0.480,8.69E-02
ASPDH,0.089,4.99E-01
ASPH,-0.061,9.45E-01
ASPHD1,-0.152,2.00E-01
ASPHD2,0.222,1.20E-01
ASPRV1,-0.073,3.84E-01
ASPSCR1,0.038,9.53E-01
ASRGL1,0.067,2.84E-01
ASS1,-0.028,6.64E-01
ASS1P10,0.106,1.99E-01
ASTE1,-0.038,5.35E-01
ASTN1,0.245,9.56E-02
ASTN2,-0.030,6.47E-01
ASUN,-0.071,5.74E-01
ASXL1,0.022,9.94E-01
ASXL2,0.020,5.83E-01
ASXL3,0.086,1.65E-01
ATAD1,-0.025,8.07E-01
ATAD2,0.082,3.70E-01
ATAD2B,-0.087,1.85E-01
ATAD3A,0.060,9.89E-01
ATAD3B,0.048,9.76E-01
ATAD3C,-0.008,9.60E-01
ATAD5,0.002,4.23E-01
ATAT1,-0.090,3.40E-01
ATCAY,0.197,2.15E-01
ATE1,-0.101,9.28E-02
ATE1-AS1,-0.042,7.48E-01
ATF1,-0.018,8.87E-01
ATF1P1,-0.048,7.37E-01
ATF2,0.027,4.02E-01
ATF3,-0.073,8.74E-01
ATF4,-0.010,9.48E-01
ATF5,-0.031,8.39E-01
ATF6,-0.028,8.92E-01
ATF6B,-0.018,8.31E-01
ATF7,-0.102,4.56E-01
ATF7IP,-0.060,1.81E-01
ATF7IP2,0.071,2.62E-01
ATG10,-0.012,6.88E-01
ATG101,0.042,7.33E-01
ATG12,-0.088,1.96E-01
ATG12P1,-0.132,5.47E-01
ATG12P2,-0.024,7.78E-01
ATG13,-0.083,1.56E-01
ATG14,-0.119,1.45E-01
ATG16L1,-0.023,9.53E-01
ATG16L2,0.107,3.79E-01
ATG2A,0.016,8.59E-01
ATG2B,-0.084,7.59E-01
ATG3,-0.193,1.08E-01
ATG4A,-0.057,5.92E-01
ATG4B,0.096,2.74E-01
ATG4C,-0.253,1.30E-01
ATG4D,0.111,3.68E-01
ATG5,-0.059,6.47E-01
ATG7,0.046,3.38E-01
ATG9A,0.066,2.34E-01
ATHL1,-0.078,4.12E-01
ATIC,0.033,4.03E-01
ATL1,0.014,8.15E-01
ATL2,0.102,2.17E-01
ATL3,-0.166,1.79E-01
ATM,-0.121,4.54E-01
ATMIN,0.010,8.41E-01
ATN1,0.188,1.91E-01
ATOH8,-0.114,3.49E-01
ATOX1,-0.163,8.84E-02
ATP10A,0.174,4.12E-01
ATP10B,-0.312,9.79E-02
ATP10D,0.034,7.09E-01
ATP11A,-0.188,1.94E-01
ATP11A-AS1,-0.131,4.05E-01
ATP11B,-0.070,3.82E-01
ATP11C,-0.099,4.87E-01
ATP13A1,0.065,6.71E-01
ATP13A2,0.256,2.12E-01
ATP13A3,-0.064,3.95E-01
ATP13A4,-0.074,8.97E-01
ATP1A1,0.012,6.64E-01
ATP1A1-AS1,-0.059,6.11E-01
ATP1A2,0.005,6.69E-01
ATP1A3,0.413,2.75E-01
ATP1B1,0.020,6.33E-01
ATP1B1P1,-0.073,1.86E-01
ATP1B2,0.082,6.76E-01
ATP1B3,0.060,3.40E-01
ATP2A2,-0.013,6.42E-01
ATP2B1,0.091,4.32E-01
ATP2B2,0.580,9.70E-02
ATP2B3,0.402,1.49E-01
ATP2B4,0.100,2.60E-01
ATP2C1,-0.010,9.99E-01
ATP5A1,0.031,6.12E-01
ATP5B,0.030,6.70E-01
ATP5C1,-0.069,3.80E-01
ATP5D,0.185,4.10E-01
ATP5E,-0.118,1.65E-01
ATP5F1,-0.066,4.32E-01
ATP5F1P1,-0.037,7.67E-01
ATP5G1,0.013,7.23E-01
ATP5G2,-0.130,1.07E-01
ATP5G2P3,-0.080,4.70E-01
ATP5G3,0.036,6.49E-01
ATP5H,-0.031,9.15E-01
ATP5HP4,-0.121,7.18E-01
ATP5I,-0.113,1.69E-01
ATP5J,-0.103,5.92E-01
ATP5J2,0.016,7.09E-01
ATP5J2-PTCD1,0.084,4.93E-01
ATP5L,-0.042,9.01E-01
ATP5O,-0.032,8.18E-01
ATP5S,-0.132,7.16E-02
ATP5SL,0.044,4.76E-01
ATP6,-0.005,9.69E-01
ATP6AP1,-0.134,4.48E-01
ATP6AP1L,-0.010,6.21E-01
ATP6AP2,-0.038,8.96E-01
ATP6V0A1,-0.031,7.83E-01
ATP6V0A2,-0.046,1.96E-01
ATP6V0B,0.003,9.17E-01
ATP6V0C,0.217,1.31E-01
ATP6V0D1,0.064,5.50E-01
ATP6V0E1,-0.021,9.70E-01
ATP6V0E1P1,0.195,3.43E-01
ATP6V0E2,-0.002,8.91E-01
ATP6V0E2-AS1,-0.002,9.27E-01
ATP6V1A,-0.079,8.81E-01
ATP6V1B2,-0.095,9.16E-01
ATP6V1C1,-0.025,7.31E-01
ATP6V1D,0.040,5.11E-01
ATP6V1E1,-0.054,7.81E-01
ATP6V1E2,-0.048,6.10E-01
ATP6V1F,0.091,3.97E-01
ATP6V1G1,-0.038,7.45E-01
ATP6V1G1P4,-0.039,7.45E-01
ATP6V1G1P7,-0.039,9.83E-01
ATP6V1G2,-0.045,7.92E-01
ATP6V1G2-DDX39B,-0.315,4.48E-01
ATP6V1H,-0.051,8.31E-01
ATP7A,-0.097,2.37E-01
ATP7B,0.097,3.30E-01
ATP8,-0.034,9.47E-01
ATP8A1,-0.395,5.47E-02
ATP8A2,0.135,4.02E-01
ATP8A2P2,0.077,3.36E-01
ATP8B1,0.085,3.01E-01
ATP8B2,0.202,6.98E-02
ATP8B4,-0.022,9.34E-01
ATP9A,0.027,5.50E-01
ATP9B,-0.035,4.13E-01
ATPAF1,-0.039,5.34E-01
ATPAF2,0.084,2.11E-01
ATPIF1,0.010,8.78E-01
ATR,-0.032,5.29E-01
ATRAID,-0.110,2.86E-01
ATRIP,-0.048,2.90E-01
ATRN,-0.050,8.57E-01
ATRNL1,0.084,4.79E-01
ATRX,-0.009,9.84E-01
ATXN1,-0.019,5.35E-01
ATXN10,-0.035,7.92E-01
ATXN1L,-0.054,1.96E-01
ATXN2,0.005,9.77E-01
ATXN2L,0.097,2.65E-01
ATXN3,-0.057,5.35E-01
ATXN7,0.020,5.38E-01
ATXN7L1,0.087,3.81E-01
ATXN7L2,0.208,6.98E-02
ATXN7L3,0.275,9.47E-02
ATXN7L3B,0.020,6.77E-01
AUH,-0.133,9.87E-02
AUP1,0.044,5.08E-01
AURKAIP1,0.020,9.89E-01
AURKAPS1,0.048,9.70E-01
AURKAPS2,-0.042,7.70E-01
AUTS2,0.002,8.52E-01
AVEN,0.026,8.42E-01
AVIL,0.143,3.69E-01
AVL9,-0.004,7.51E-01
AVPI1,0.024,5.51E-01
AXIN1,0.053,9.93E-01
AXIN2,0.113,2.97E-01
AXL,0.075,3.71E-01
AZGP1,-0.119,8.61E-01
AZGP1P1,0.012,7.45E-01
AZI2,-0.014,9.54E-01
AZIN1,-0.084,2.12E-01
AZIN2,-0.106,1.61E-01
B2M,-0.068,6.91E-01
B3GALNT1,0.096,3.72E-01
B3GALNT1P1,-0.041,4.31E-01
B3GALNT2,0.028,4.91E-01
B3GALT1,0.153,2.20E-01
B3GALT2,0.031,4.86E-01
B3GALT4,-0.088,2.71E-01
B3GALT5,0.006,7.21E-01
B3GALT5-AS1,0.073,2.15E-01
B3GALT6,-0.029,5.01E-01
B3GALTL,0.064,3.70E-01
B3GAT1,0.003,9.63E-01
B3GAT2,-0.058,8.20E-01
B3GAT3,-0.043,7.29E-01
B3GNT2,-0.002,9.63E-01
B3GNT4,0.112,3.09E-01
B3GNT5,-0.044,9.39E-01
B3GNT7,-0.071,3.08E-01
B3GNT9,-0.187,1.64E-01
B3GNTL1,0.065,7.74E-01
B4GALNT1,0.572,7.10E-02
B4GALNT3,0.283,9.10E-02
B4GALNT4,0.213,1.72E-01
B4GALT1,0.021,9.45E-01
B4GALT2,0.082,2.30E-01
B4GALT3,0.051,2.91E-01
B4GALT4,-0.041,4.23E-01
B4GALT5,0.091,3.01E-01
B4GALT6,0.174,2.81E-01
B4GALT7,0.022,9.68E-01
B4GAT1,0.021,6.36E-01
B9D1,-0.050,3.65E-01
B9D2,0.090,2.18E-01
bA255A11.4,-0.040,9.79E-01
BAALC,-0.031,9.72E-01
BAALC-AS1,0.046,8.87E-01
BAATP1,-0.021,3.91E-01
BABAM1,0.040,6.22E-01
BACE1,-0.212,1.37E-01
BACE1-AS,-0.006,8.59E-01
BACE2,0.137,2.03E-01
BACH1,-0.062,4.48E-01
BACH2,-0.088,2.39E-01
BAD,0.097,7.16E-01
BAG1,-0.059,1.41E-01
BAG2,0.052,2.21E-01
BAG3,0.126,8.27E-01
BAG4,-0.027,7.17E-01
BAG5,-0.035,6.65E-01
BAG6,0.043,4.77E-01
BAHCC1,0.060,8.43E-01
BAHD1,0.038,6.89E-01
BAIAP2,0.226,2.42E-01
BAIAP2-AS1,0.121,1.95E-01
BAIAP3,0.200,4.55E-01
BAK1,-0.021,5.37E-01
BAMBI,-0.127,4.19E-01
BANF1,-0.011,9.14E-01
BANF1P3,0.100,6.42E-01
BANP,0.109,4.62E-01
BAP1,0.274,6.28E-02
BARD1,-0.047,5.11E-01
BASP1,0.257,2.99E-01
BATF3,0.040,4.11E-01
BAX,-0.016,5.54E-01
BAZ1A,-0.133,3.45E-01
BAZ1B,-0.021,6.17E-01
BAZ2A,0.036,9.82E-01
BAZ2B,-0.132,2.19E-01
BBIP1,-0.201,1.00E-01
BBOX1,0.021,3.80E-01
BBOX1-AS1,0.095,4.14E-01
BBS1,0.090,2.82E-01
BBS10,-0.061,7.45E-01
BBS12,0.104,2.20E-01
BBS2,-0.116,3.26E-01
BBS4,-0.065,3.10E-01
BBS5,0.077,6.02E-01
BBS7,0.062,3.88E-01
BBS9,-0.005,8.70E-01
BBX,-0.283,1.10E-01
BCAM,0.124,5.22E-01
BCAN,-0.059,4.28E-01
BCAP29,0.016,5.37E-01
BCAP31,0.002,8.07E-01
BCAR1,0.050,9.98E-01
BCAR3,0.159,8.49E-02
BCAS1,-0.347,9.92E-02
BCAS2,-0.038,8.20E-01
BCAS2P1,0.102,5.63E-01
BCAS3,-0.128,1.74E-01
BCAS4,0.312,1.02E-01
BCAT1,-0.082,7.86E-01
BCAT2,-0.026,8.53E-01
BCCIP,-0.012,7.10E-01
BCDIN3D,-0.065,2.12E-01
BCDIN3D-AS1,0.001,9.86E-01
BCHE,-0.186,2.12E-01
BCKDHA,-0.107,2.94E-01
BCKDHB,-0.170,1.87E-01
BCKDK,0.076,3.49E-01
BCL10,-0.056,2.79E-01
BCL11A,0.409,1.00E-01
BCL11B,0.130,2.74E-01
BCL2,-0.103,5.81E-01
BCL2A1,-0.180,6.11E-01
BCL2L1,-0.098,3.69E-01
BCL2L11,-0.039,8.56E-01
BCL2L13,0.021,3.47E-01
BCL2L2,-0.012,8.49E-01
BCL2L2-PABPN1,-0.022,8.62E-01
BCL6,-0.019,9.66E-01
BCL7A,0.103,1.39E-01
BCL7B,0.145,1.63E-01
BCL7C,-0.022,4.51E-01
BCL9,0.105,1.03E-01
BCL9L,0.100,3.19E-01
BCLAF1,0.008,9.00E-01
BCO1,-0.013,9.31E-01
BCO2,0.056,5.04E-01
BCOR,0.001,5.33E-01
BCORL1,0.032,7.30E-01
BCR,0.116,1.79E-01
BCS1L,-0.018,7.38E-01
BCYRN1,-0.048,8.27E-01
BCYRN1P1,0.015,8.68E-01
BCYRN1P3,0.059,5.43E-01
BDH1,0.132,3.40E-01
BDH2,-0.124,3.89E-01
BDNF,0.031,5.42E-01
BDNF-AS,-0.152,1.61E-01
BDP1,0.018,8.92E-01
BEAN1,0.076,3.78E-01
BECN1,-0.078,1.93E-01
BECN1P2,-0.297,1.65E-01
BEGAIN,0.470,5.47E-02
BEND3P3,0.038,9.51E-01
BEND5,0.071,7.27E-01
BEND6,0.100,4.82E-01
BEND7,0.105,6.28E-02
BEND7P1,0.118,2.63E-01
BEST1,-0.404,1.21E-01
BEST3,-0.276,1.31E-01
BET1,-0.091,3.01E-01
BET1L,-0.055,2.32E-01
BEX1,-0.122,9.49E-01
BEX2,-0.027,9.05E-01
BEX4,-0.148,2.49E-01
BEX5,-0.101,9.55E-01
BFAR,-0.015,7.01E-01
BGN,-0.174,1.96E-01
BHLHB9,0.021,6.50E-01
BHLHE22,0.135,1.50E-01
BHLHE40,0.172,1.93E-01
BHLHE40-AS1,-0.003,9.60E-01
BHLHE41,-0.171,3.71E-01
BHMT2,0.005,5.83E-01
BICC1,0.066,3.74E-01
BICD1,0.111,1.93E-01
BICD2,-0.019,5.70E-01
BID,0.044,3.08E-01
BIN1,-0.226,1.18E-01
BIN2,-0.131,3.14E-01
BIN3,0.077,3.17E-01
BIRC2,-0.090,3.04E-01
BIRC3,-0.123,7.02E-01
BIRC6,-0.096,1.21E-01
BIRC6-AS2,0.071,7.76E-01
BISPR,0.030,7.21E-01
BIVM,0.006,3.75E-01
BIVM-ERCC5,0.026,9.13E-01
BLCAP,0.169,1.91E-01
BLID,-0.204,2.02E-01
BLM,-0.025,6.22E-01
BLMH,-0.040,3.70E-01
BLNK,-0.125,3.68E-01
BLOC1S1,-0.094,1.34E-01
BLOC1S1-RDH5,-0.128,2.20E-01
BLOC1S2,-0.035,9.49E-01
BLOC1S3,0.005,8.28E-01
BLOC1S4,0.012,7.76E-01
BLOC1S5,-0.159,3.83E-01
BLOC1S5-TXNDC5,0.011,9.84E-01
BLOC1S6,-0.060,6.16E-01
BLVRA,0.099,5.68E-01
BLVRB,-0.057,4.73E-01
BLZF1,-0.073,1.71E-01
BLZF2P,-0.033,5.28E-01
BMI1,-0.093,5.87E-01
BMP1,0.008,7.11E-01
BMP2,-0.107,1.78E-01
BMP2K,-0.019,9.67E-01
BMP2KL,0.037,6.72E-01
BMP4,0.035,6.23E-01
BMP6,0.039,9.99E-01
BMP7,0.031,8.46E-01
BMP8A,-0.057,8.60E-01
BMP8B,-0.127,2.51E-01
BMPER,0.186,2.86E-01
BMPR1A,-0.014,8.97E-01
BMPR1B,-0.039,8.20E-01
BMPR2,0.117,2.80E-01
BMS1,0.065,7.44E-01
BMS1P10,0.065,2.96E-01
BMS1P17,-0.002,9.01E-01
BMS1P18,-0.002,9.01E-01
BMS1P20,0.034,8.57E-01
BMS1P4,0.012,9.79E-01
BMS1P5,0.023,8.90E-01
BMS1P6,0.016,9.15E-01
BMS1P7,0.025,9.87E-01
BMS1P9,-0.032,8.37E-01
BNC2,-0.069,5.13E-01
BNIP1,-0.080,1.06E-01
BNIP2,-0.113,1.71E-01
BNIP3,-0.122,4.13E-01
BNIP3L,-0.249,6.29E-02
BNIP3P10,-0.081,7.22E-01
BNIP3P25,-0.228,2.64E-01
BNIP3P40,-0.043,7.99E-01
BNIP3P5,0.018,8.67E-01
BNIPL,0.036,5.43E-01
BOC,0.065,4.83E-01
BOD1,-0.021,4.95E-01
BOD1L1,-0.050,3.82E-01
BOK,-0.251,3.06E-01
BOLA1,-0.019,8.81E-01
BOLA2,0.030,7.94E-01
BOLA2B,-0.051,3.50E-01
BOLA3,0.034,7.38E-01
BOLA3-AS1,0.057,1.09E-01
BOP1,0.179,1.59E-01
BPGM,-0.085,1.80E-01
BPHL,-0.013,9.88E-01
BPIFB5P,0.046,1.65E-01
BPIFB9P,0.050,4.55E-01
BPNT1,-0.051,4.13E-01
BPTF,-0.091,2.36E-01
BRAF,0.035,6.67E-01
BRAP,-0.010,8.05E-01
BRAT1,0.052,8.13E-01
BRCA1,-0.163,1.57E-01
BRCA1P1,-0.032,9.10E-01
BRCC3,0.025,5.34E-01
BRCC3P1,0.218,6.86E-02
BRD1,0.069,8.14E-01
BRD2,0.024,9.32E-01
BRD3,-0.026,6.45E-01
BRD4,0.128,2.14E-01
BRD7,-0.061,4.20E-01
BRD7P3,0.007,6.84E-01
BRD7P4,0.044,3.10E-01
BRD8,-0.076,1.08E-01
BRD9,-0.060,9.47E-02
BRE,-0.042,9.04E-01
BRF1,0.012,6.59E-01
BRF2,0.005,8.41E-01
BRI3,0.024,9.20E-01
BRI3BP,0.133,1.64E-01
BRICD5,0.072,4.49E-01
BRINP1,0.261,1.22E-01
BRINP2,0.206,1.70E-01
BRINP3,0.119,1.55E-01
BRIP1,-0.022,2.49E-01
BRIX1,-0.097,1.33E-01
BRK1,0.002,5.00E-01
BRMS1,-0.050,3.22E-01
BRMS1L,-0.065,9.05E-01
BROX,-0.088,4.17E-01
BRPF1,0.001,4.89E-01
BRPF3,0.107,2.67E-01
BRSK1,0.152,1.86E-01
BRSK2,0.186,1.77E-01
BRWD1,-0.058,6.82E-01
BRWD3,-0.034,4.40E-01
BSCL2,0.164,3.27E-01
BSDC1,-0.047,1.46E-01
BSG,0.133,3.22E-01
BSN,0.878,6.29E-02
BSN-AS2,-0.044,9.20E-01
BST2,0.071,7.39E-01
BTAF1,-0.197,5.92E-02
BTBD1,-0.079,5.45E-01
BTBD10,0.047,4.58E-01
BTBD10P2,0.011,8.58E-01
BTBD11,0.110,4.23E-01
BTBD16,-0.292,7.91E-02
BTBD18,0.072,2.88E-01
BTBD2,0.251,1.22E-01
BTBD3,-0.125,9.10E-02
BTBD6,0.206,8.81E-02
BTBD7,-0.025,8.15E-01
BTBD7P1,-0.008,3.51E-01
BTBD8,-0.170,1.61E-01
BTBD9,0.155,1.15E-01
BTD,-0.079,3.42E-01
BTF3,-0.106,7.27E-02
BTF3L4,-0.065,5.03E-01
BTF3L4P2,-0.112,3.58E-01
BTF3P12,-0.024,4.63E-01
BTF3P16,0.025,8.80E-01
BTF3P3,0.029,8.04E-01
BTG1,0.057,4.02E-01
BTG2,-0.089,8.71E-01
BTG3,-0.190,1.71E-01
BTK,-0.145,4.91E-01
BTN2A1,0.011,7.89E-01
BTN2A2,0.103,2.53E-01
BTN3A1,-0.009,9.61E-01
BTN3A2,0.013,8.76E-01
BTN3A3,0.077,5.25E-01
BTNL9,0.062,5.09E-01
BTRC,0.135,1.67E-01
BUB3,-0.078,3.71E-01
BUD13,-0.022,3.31E-01
BUD31,-0.066,2.14E-01
BVES,-0.204,3.80E-01
BYSL,-0.007,7.39E-01
BZRAP1,0.329,1.66E-01
BZW1,-0.143,8.95E-02
BZW1P2,0.075,3.75E-01
BZW2,0.009,8.10E-01
C10orf10,0.086,6.15E-01
C10orf105,-0.056,4.50E-01
C10orf107,-0.159,3.12E-01
C10orf11,-0.057,3.71E-01
C10orf113,0.049,9.21E-01
C10orf12,0.002,7.60E-01
C10orf128,-0.252,2.58E-01
C10orf2,0.021,9.26E-01
C10orf32,-0.084,2.08E-01
C10orf35,0.200,2.93E-01
C10orf54,0.064,5.92E-01
C10orf76,0.012,9.97E-01
C10orf88,-0.044,7.75E-01
C10orf90,-0.434,8.24E-02
C11orf1,-0.008,8.39E-01
C11orf24,-0.139,2.79E-01
C11orf30,-0.039,7.81E-01
C11orf31,-0.006,9.16E-01
C11orf39,-0.327,1.16E-01
C11orf42,0.096,3.09E-01
C11orf49,0.111,2.48E-01
C11orf54,-0.127,1.95E-01
C11orf57,-0.022,6.49E-01
C11orf58,-0.112,7.36E-02
C11orf63,0.144,1.17E-01
C11orf65,-0.135,1.39E-01
C11orf68,0.104,1.85E-01
C11orf70,-0.017,7.06E-01
C11orf71,-0.226,8.59E-02
C11orf72,-0.053,3.73E-01
C11orf73,-0.052,5.29E-01
C11orf74,0.066,3.22E-01
C11orf80,0.160,1.71E-01
C11orf84,0.116,3.38E-01
C11orf87,0.356,1.41E-01
C11orf88,-0.023,8.71E-01
C11orf95,0.157,1.44E-01
C11orf96,0.112,8.95E-01
C11orf98,-0.083,1.99E-01
C12orf10,0.070,8.13E-01
C12orf29,-0.104,4.30E-01
C12orf4,0.094,3.37E-01
C12orf43,0.113,3.10E-01
C12orf45,-0.050,4.25E-01
C12orf49,-0.004,7.21E-01
C12orf5,0.080,1.37E-01
C12orf50,-0.021,9.51E-01
C12orf57,0.084,7.56E-01
C12orf60,-0.067,6.10E-01
C12orf65,0.003,8.71E-01
C12orf66,-0.148,8.44E-02
C12orf73,-0.022,7.87E-01
C12orf75,0.032,6.44E-01
C12orf76,-0.166,8.74E-02
C14orf1,0.056,4.84E-01
C14orf105,-0.068,3.49E-01
C14orf119,-0.055,2.33E-01
C14orf132,0.012,8.01E-01
C14orf142,0.051,5.16E-01
C14orf159,-0.033,8.38E-01
C14orf166,-0.082,9.70E-02
C14orf169,0.010,9.85E-01
C14orf2,-0.001,6.29E-01
C14orf28,-0.162,6.53E-02
C14orf37,0.089,3.03E-01
C14orf79,0.134,4.30E-01
C14orf80,0.031,9.09E-01
C14orf93,-0.017,7.37E-01
C15orf27,0.272,6.86E-02
C15orf38-AP3S2,0.094,3.57E-01
C15orf40,-0.061,2.78E-01
C15orf41,0.004,7.34E-01
C15orf52,-0.137,1.57E-01
C15orf57,-0.049,3.34E-01
C15orf59,0.380,5.63E-02
C15orf61,0.084,3.04E-01
C15orf62,-0.022,7.58E-01
C15orf65,0.107,3.90E-01
C16orf13,0.144,2.91E-01
C16orf45,0.074,4.58E-01
C16orf46,0.058,2.12E-01
C16orf52,0.046,4.62E-01
C16orf58,-0.057,3.74E-01
C16orf62,-0.097,9.85E-02
C16orf70,-0.046,4.25E-01
C16orf72,-0.027,9.65E-01
