gene_name	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Li_et_al	Das_et_al	Marques-Coelho_MAYO	King_et_al	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
TMEM184A	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TMEM184C	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TMEM191A	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
TMEM191C	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
TMEM196	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
TMEM198	missing	missing	missing	missing	missing	missing	upregulated	missing	downregulated	1	1
TMEM200A	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	2
TMEM200B	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	2	0
TMEM201	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
TMEM202-AS1	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
TMEM203	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	1	0
TMEM204	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	2	0
TMEM216	missing	missing	upregulated	missing	missing	missing	missing	upregulated	upregulated	3	0
TMEM218	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
TMEM220-AS1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TMEM235	missing	upregulated	missing	missing	missing	downregulated	missing	missing	missing	1	1
TMEM238L	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
TMEM240	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TMEM241	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TMEM242	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
TMEM249	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
TMEM255A	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
TMEM255B	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
TMEM256	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TMEM256P1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
TMEM26	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	2	0
TMEM260	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
TMEM263	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TMEM263-DT	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TMEM265	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TMEM266	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
TMEM268	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TMEM271	missing	downregulated	downregulated	missing	missing	missing	missing	missing	downregulated	0	3
TMEM273	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
TMEM30A	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
TMEM30A-DT	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
TMEM30B	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
TMEM30BP1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
TMEM35A	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
TMEM37	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
TMEM38A	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TMEM38B	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TMEM39A	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TMEM43	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TMEM45A	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TMEM47	upregulated	missing	upregulated	missing	missing	upregulated	missing	missing	missing	3	0
TMEM51	missing	missing	upregulated	missing	missing	missing	missing	upregulated	missing	2	0
TMEM52B	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TMEM54	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TMEM59L	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
TMEM62	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
TMEM63A	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TMEM63B	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TMEM63C	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TMEM64	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TMEM71	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
TMEM74	missing	missing	upregulated	missing	missing	missing	downregulated	missing	missing	1	1
TMEM74B	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TMEM80	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
