gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
MPC2,ENSG00000143158,MPC2,False,Frontal Lobe,Panitch_et_al,1.8
ARHGEF9-IT1,ENSG00000231729,ARHGEF9-IT1,False,Frontal Lobe,Panitch_et_al,1.8
PKN1,ENSG00000123143,PKN1,False,Frontal Lobe,Panitch_et_al,1.8
NEU3,ENSG00000162139,NEU3,False,Frontal Lobe,Panitch_et_al,1.8
FBXO16,ENSG00000214050,FBXO16,False,Frontal Lobe,Panitch_et_al,1.8
AMN1,ENSG00000151743,AMN1,False,Frontal Lobe,Panitch_et_al,1.8
FARSB,ENSG00000116120,FARSB,False,Frontal Lobe,Panitch_et_al,1.8
RAB6D,ENSG00000233087,RAB6D,False,Frontal Lobe,Panitch_et_al,1.8
SKP1,ENSG00000113558,SKP1,False,Frontal Lobe,Panitch_et_al,1.8
SLC16A14,ENSG00000163053,SLC16A14,False,Frontal Lobe,Panitch_et_al,1.8
GRIK5,ENSG00000105737,GRIK5,False,Frontal Lobe,Panitch_et_al,1.8
GABRA6-AS1,,GABRA6-AS1,False,Frontal Lobe,Panitch_et_al,1.8
EBNA1BP2,ENSG00000117395,EBNA1BP2,False,Frontal Lobe,Panitch_et_al,1.8
BEX4,ENSG00000102409,BEX4,False,Frontal Lobe,Panitch_et_al,1.8
NECAP1,ENSG00000089818,NECAP1,False,Frontal Lobe,Panitch_et_al,1.8
PTPRU,ENSG00000060656,PTPRU,False,Frontal Lobe,Panitch_et_al,1.8
GPR135,ENSG00000181619,GPR135,False,Frontal Lobe,Panitch_et_al,1.8
BZW2,ENSG00000136261,BZW2,False,Frontal Lobe,Panitch_et_al,1.8
WDR75,ENSG00000115368,WDR75,False,Frontal Lobe,Panitch_et_al,1.8
ACTG1,ENSG00000184009,ACTG1,False,Frontal Lobe,Panitch_et_al,1.8
UNC79,ENSG00000133958,UNC79,False,Frontal Lobe,Panitch_et_al,1.8
MED12,ENSG00000184634,MED12,False,Frontal Lobe,Panitch_et_al,1.8
ANKRD42-DT,ENSG00000247137,ANKRD42-DT,False,Frontal Lobe,Panitch_et_al,1.8
GRIA4,ENSG00000152578,GRIA4,False,Frontal Lobe,Panitch_et_al,1.8
TUBB2A,ENSG00000137267,TUBB2A,False,Frontal Lobe,Panitch_et_al,1.8
SRD5A1,ENSG00000145545,SRD5A1,False,Frontal Lobe,Panitch_et_al,1.8
LINC00882,ENSG00000242759,LINC00882,False,Frontal Lobe,Panitch_et_al,1.8
ZNF215,ENSG00000149054,ZNF215,False,Frontal Lobe,Panitch_et_al,1.8
DYNC1I1,ENSG00000158560,DYNC1I1,False,Frontal Lobe,Panitch_et_al,1.8
CIAPIN1,ENSG00000005194,CIAPIN1,False,Frontal Lobe,Panitch_et_al,1.8
FAM3C,ENSG00000196937,FAM3C,False,Frontal Lobe,Panitch_et_al,1.8
HPRT1,ENSG00000165704,HPRT1,False,Frontal Lobe,Panitch_et_al,1.8
CHGB,ENSG00000089199,CHGB,False,Frontal Lobe,Panitch_et_al,1.8
BDH1,ENSG00000161267,BDH1,False,Frontal Lobe,Panitch_et_al,1.8
LYRM7,ENSG00000186687,LYRM7,False,Frontal Lobe,Panitch_et_al,1.8
AGBL4-IT1,ENSG00000225623,AGBL4-IT1,False,Frontal Lobe,Panitch_et_al,1.8
RTKN2,ENSG00000182010,RTKN2,False,Frontal Lobe,Panitch_et_al,1.8
LRRC40,ENSG00000066557,LRRC40,False,Frontal Lobe,Panitch_et_al,1.8
SVOPL,ENSG00000157703,SVOPL,False,Frontal Lobe,Panitch_et_al,1.8
TBC1D9,ENSG00000109436,TBC1D9,False,Frontal Lobe,Panitch_et_al,1.8
RBM11,ENSG00000185272,RBM11,False,Frontal Lobe,Panitch_et_al,1.8
ZNF382,ENSG00000161298,ZNF382,False,Frontal Lobe,Panitch_et_al,1.8
