gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
ENSG00000225279,ENSG00000225279,,True,Temporal Lobe,Cho_et_al,1.6
HSP90AA5P,ENSG00000205955,HSP90AA5P,True,Temporal Lobe,Cho_et_al,1.6
MMRN1,ENSG00000138722,MMRN1,True,Temporal Lobe,Cho_et_al,1.6
FGF14-IT1,ENSG00000243319,FGF14-IT1,True,Temporal Lobe,Cho_et_al,1.6
ZBTB20,ENSG00000181722,ZBTB20,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000267089,ENSG00000267089,,True,Temporal Lobe,Cho_et_al,1.6
TSLP,ENSG00000145777,TSLP,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000258500,ENSG00000258500,,True,Temporal Lobe,Cho_et_al,1.6
APOBEC3A,ENSG00000262156,APOBEC3A,True,Temporal Lobe,Cho_et_al,1.6
PPIAP39,ENSG00000230018,PPIAP39,True,Temporal Lobe,Cho_et_al,1.6
SLC26A5-AS1,ENSG00000234715,SLC26A5-AS1,True,Temporal Lobe,Cho_et_al,1.6
SAT1-DT,ENSG00000233785,SAT1-DT,True,Temporal Lobe,Cho_et_al,1.6
SGO1-AS1,ENSG00000231304,SGO1-AS1,True,Temporal Lobe,Cho_et_al,1.6
REV3L-IT1,ENSG00000229276,REV3L-IT1,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000260971,ENSG00000260971,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000269967,ENSG00000269967,,True,Temporal Lobe,Cho_et_al,1.6
GPC5-AS1,ENSG00000235984,GPC5-AS1,True,Temporal Lobe,Cho_et_al,1.6
BCRP1,ENSG00000225098,BCRP1,True,Temporal Lobe,Cho_et_al,1.6
LILRA5,ENSG00000275404,LILRA5,True,Temporal Lobe,Cho_et_al,1.6
PZP,ENSG00000126838,PZP,True,Temporal Lobe,Cho_et_al,1.6
TNFRSF8,ENSG00000120949,TNFRSF8,True,Temporal Lobe,Cho_et_al,1.6
MKI67,ENSG00000148773,MKI67,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000248585,ENSG00000248585,,True,Temporal Lobe,Cho_et_al,1.6
BMX,ENSG00000102010,BMX,True,Temporal Lobe,Cho_et_al,1.6
COL8A1,ENSG00000144810,COL8A1,True,Temporal Lobe,Cho_et_al,1.6
LINC02279,ENSG00000258933,LINC02279,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000241180,ENSG00000241180,,True,Temporal Lobe,Cho_et_al,1.6
ACTG1P10,ENSG00000231340,ACTG1P10,True,Temporal Lobe,Cho_et_al,1.6
BNIP3P5,ENSG00000260571,BNIP3P5,True,Temporal Lobe,Cho_et_al,1.6
VNN2,ENSG00000112303,VNN2,True,Temporal Lobe,Cho_et_al,1.6
TEKT1,ENSG00000167858,TEKT1,True,Temporal Lobe,Cho_et_al,1.6
C2CD4A,ENSG00000198535,C2CD4A,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000234638,ENSG00000234638,,True,Temporal Lobe,Cho_et_al,1.6
SNORA73B,ENSG00000200087,SNORA73B,True,Temporal Lobe,Cho_et_al,1.6
LOC100288001,ENSG00000253223,LOC100288001,True,Temporal Lobe,Cho_et_al,1.6
CCL2,ENSG00000108691,CCL2,True,Temporal Lobe,Cho_et_al,1.6
FPR2,ENSG00000171049,FPR2,True,Temporal Lobe,Cho_et_al,1.6
DSP,ENSG00000096696,DSP,True,Temporal Lobe,Cho_et_al,1.6
AIM2,ENSG00000163568,AIM2,True,Temporal Lobe,Cho_et_al,1.6
LINC02884,ENSG00000231246,LINC02884,True,Temporal Lobe,Cho_et_al,1.6
CD300E,ENSG00000186407,CD300E,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000228863,ENSG00000228863,,True,Temporal Lobe,Cho_et_al,1.6
CXCL10,ENSG00000169245,CXCL10,True,Temporal Lobe,Cho_et_al,1.6
LNCSRLR,ENSG00000240032,LNCSRLR,True,Temporal Lobe,Cho_et_al,1.6
ACTG2,ENSG00000163017,ACTG2,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000272183,ENSG00000272183,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000226622,ENSG00000226622,,True,Temporal Lobe,Cho_et_al,1.6
SYTL4,ENSG00000102362,SYTL4,True,Temporal Lobe,Cho_et_al,1.6
BNC2,ENSG00000173068,BNC2,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000267102,ENSG00000267102,,True,Temporal Lobe,Cho_et_al,1.6
SERPIND1,ENSG00000099937,SERPIND1,True,Temporal Lobe,Cho_et_al,1.6
TNFRSF11B,ENSG00000164761,TNFRSF11B,True,Temporal Lobe,Cho_et_al,1.6
DIP2C-AS1,,DIP2C-AS1,True,Temporal Lobe,Cho_et_al,1.6
GPR65,ENSG00000140030,GPR65,True,Temporal Lobe,Cho_et_al,1.6
S100A3,ENSG00000188015,S100A3,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000230790,ENSG00000230790,,True,Temporal Lobe,Cho_et_al,1.6
CD44-AS1,ENSG00000255443,CD44-AS1,True,Temporal Lobe,Cho_et_al,1.6
CRYBG3,ENSG00000080200,CRYBG3,True,Temporal Lobe,Cho_et_al,1.6
FGF7,ENSG00000140285,FGF7,True,Temporal Lobe,Cho_et_al,1.6
EPCIP,ENSG00000262938,EPCIP,True,Temporal Lobe,Cho_et_al,1.6
SETP17,ENSG00000255222,SETP17,True,Temporal Lobe,Cho_et_al,1.6
CASP12,ENSG00000204403,CASP12,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000225807,ENSG00000225807,,True,Temporal Lobe,Cho_et_al,1.6
SCIN,ENSG00000006747,SCIN,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000219992,ENSG00000219992,,True,Temporal Lobe,Cho_et_al,1.6
SPTLC3,ENSG00000172296,SPTLC3,True,Temporal Lobe,Cho_et_al,1.6
MCOLN3,ENSG00000055732,MCOLN3,True,Temporal Lobe,Cho_et_al,1.6
LINC01088,ENSG00000249307,LINC01088,True,Temporal Lobe,Cho_et_al,1.6
PCDHA13,ENSG00000239389,PCDHA13,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000255176,ENSG00000255176,,True,Temporal Lobe,Cho_et_al,1.6
LOC101929124,ENSG00000260599,LOC101929124,True,Temporal Lobe,Cho_et_al,1.6
LINC02649,ENSG00000215244,LINC02649,True,Temporal Lobe,Cho_et_al,1.6
RGS1,ENSG00000090104,RGS1,True,Temporal Lobe,Cho_et_al,1.6
PPM1K-DT,ENSG00000246375,PPM1K-DT,True,Temporal Lobe,Cho_et_al,1.6
ABCA6,ENSG00000154262,ABCA6,True,Temporal Lobe,Cho_et_al,1.6
MTND6P4,ENSG00000249119,MTND6P4,True,Temporal Lobe,Cho_et_al,1.6
LINC01150,ENSG00000229671,LINC01150,True,Temporal Lobe,Cho_et_al,1.6
PABPC4L,ENSG00000254535,PABPC4L,True,Temporal Lobe,Cho_et_al,1.6
MS4A14,ENSG00000166928,MS4A14,True,Temporal Lobe,Cho_et_al,1.6
WDR45P1,ENSG00000248208,WDR45P1,True,Temporal Lobe,Cho_et_al,1.6
MRPL37P1,ENSG00000266946,MRPL37P1,True,Temporal Lobe,Cho_et_al,1.6
CA1,ENSG00000133742,CA1,True,Temporal Lobe,Cho_et_al,1.6
LINC01659,ENSG00000280986,LINC01659,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000183562,ENSG00000183562,,True,Temporal Lobe,Cho_et_al,1.6
GBP5,ENSG00000154451,GBP5,True,Temporal Lobe,Cho_et_al,1.6
MYBPH,ENSG00000133055,MYBPH,True,Temporal Lobe,Cho_et_al,1.6
GDF15,ENSG00000130513,GDF15,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000254701,ENSG00000254701,,True,Temporal Lobe,Cho_et_al,1.6
ENSG00000273341,ENSG00000273341,,True,Temporal Lobe,Cho_et_al,1.6
FCGR3B,ENSG00000162747,FCGR3B,True,Temporal Lobe,Cho_et_al,1.6
FBXO39,ENSG00000177294,FBXO39,True,Temporal Lobe,Cho_et_al,1.6
FCER1A,ENSG00000179639,FCER1A,True,Temporal Lobe,Cho_et_al,1.6
