gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
MAGEE1,ENSG00000198934,MAGEE1,False,Temporal Lobe,Piras_et_al,1.9
GABRA3,ENSG00000011677,GABRA3,False,Temporal Lobe,Piras_et_al,1.9
ERICH3,ENSG00000178965,ERICH3,False,Temporal Lobe,Piras_et_al,1.9
MMACHC,ENSG00000132763,MMACHC,False,Temporal Lobe,Piras_et_al,1.9
VWC2,ENSG00000188730,VWC2,False,Temporal Lobe,Piras_et_al,1.9
LASP1NB,ENSG00000263874,LASP1NB,False,Temporal Lobe,Piras_et_al,1.9
L2HGDH,ENSG00000087299,L2HGDH,False,Temporal Lobe,Piras_et_al,1.9
CALN1,ENSG00000183166,CALN1,False,Temporal Lobe,Piras_et_al,1.9
ZNF449,ENSG00000173275,ZNF449,False,Temporal Lobe,Piras_et_al,1.9
DLGAP1,ENSG00000170579,DLGAP1,False,Temporal Lobe,Piras_et_al,1.9
SERPINI1,ENSG00000163536,SERPINI1,False,Temporal Lobe,Piras_et_al,1.9
RNF128,ENSG00000133135,RNF128,False,Temporal Lobe,Piras_et_al,1.9
TMEM17,ENSG00000186889,TMEM17,False,Temporal Lobe,Piras_et_al,1.9
SHISAL1,ENSG00000138944,SHISAL1,False,Temporal Lobe,Piras_et_al,1.9
CNTNAP2,ENSG00000278728,CNTNAP2,False,Temporal Lobe,Piras_et_al,1.9
ACAP2-IT1,ENSG00000229325,ACAP2-IT1,False,Temporal Lobe,Piras_et_al,1.9
AGAP2,ENSG00000135439,AGAP2,False,Temporal Lobe,Piras_et_al,1.9
NWD2,ENSG00000174145,NWD2,False,Temporal Lobe,Piras_et_al,1.9
FAT3,ENSG00000165323,FAT3,False,Temporal Lobe,Piras_et_al,1.9
SLITRK5,ENSG00000165300,SLITRK5,False,Temporal Lobe,Piras_et_al,1.9
SEZ6,ENSG00000063015,SEZ6,False,Temporal Lobe,Piras_et_al,1.9
ENTPD3,ENSG00000168032,ENTPD3,False,Temporal Lobe,Piras_et_al,1.9
KLF8,ENSG00000102349,KLF8,False,Temporal Lobe,Piras_et_al,1.9
DPP6,ENSG00000130226,DPP6,False,Temporal Lobe,Piras_et_al,1.9
CACNG2,ENSG00000166862,CACNG2,False,Temporal Lobe,Piras_et_al,1.9
ACO2,ENSG00000100412,ACO2,False,Temporal Lobe,Piras_et_al,1.9
FOCAD,ENSG00000188352,FOCAD,False,Temporal Lobe,Piras_et_al,1.9
NICN1,ENSG00000145029,NICN1,False,Temporal Lobe,Piras_et_al,1.9
NBEA,ENSG00000172915,NBEA,False,Temporal Lobe,Piras_et_al,1.9
