gene_name	Annese_et_al	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Marques-Coelho_MSSB_BA44	Li_et_al	Magistry_et_al	Das_et_al	Panitch_et_al	Luo_et_al	van_Rooij_et_al	Fischer_et_al	Marques-Coelho_MAYO	Guennewig_et_al	King_et_al	Marques-Coelho_MSSB_BA10	Marques-Coelho_ROSMAP	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
CDHR18P	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CDHR3	downregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	1
CDHR4	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CDHR5	downregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	3
CDIN1	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CDIPT	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	1	1
CDIPTOSP	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
CDK11A	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CDK11B	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CDK12	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	1	0
CDK13-DT	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	1	1
CDK14	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	4
CDK16	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	2
CDK18	upregulated	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	5	0
CDK19	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CDK2	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	3	0
CDK20	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	5
CDK2AP1	missing	upregulated	missing	upregulated	missing	upregulated	missing	upregulated	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	upregulated	8	0
CDK2AP2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
CDK2AP2P2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
CDK3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
CDK5	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	4
CDK5R1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CDK5R2	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	downregulated	0	4
CDK5R2-AS1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
CDK5RAP2	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CDK5RAP3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
CDK6	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CDK6-AS1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
CDK7	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	1
CDKL2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
CDKL5	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
CDKN1A	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
CDKN1C	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	1	1
CDKN2A	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	1
CDKN2AIPNL	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
CDKN2B	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	4	0
CDKN2C	missing	missing	missing	upregulated	missing	missing	missing	missing	upregulated	missing	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	upregulated	6	0
CDKN2D	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	1	3
CDO1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	1
CDON	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
CDPF1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	1
CDPF1P1	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
CDR1	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
CDR2-DT	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CDRT15L2	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CDRT15P12	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
CDRT15P14	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
CDSN	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
CDT1	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	1	1
CEACAM1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	upregulated	2	0
CEACAM16-AS1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	missing	upregulated	4	0
CEACAM21	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
CEBPA	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	3	0
CEBPB	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	2	0
CEBPD	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	upregulated	5	0
CEBPG	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	2	0
CEBPZOS	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	upregulated	missing	missing	missing	missing	1	2
CECR2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	2
CECR7	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CEDORA	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	upregulated	missing	1	1
CEL	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	1
CELF2-DT	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
CELF3	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	1	2
CELF4	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
CELF5	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
CELF6	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CELSR1	downregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	1
CELSR2	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CELSR3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CEMIP	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	downregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	1
CEMIP2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	1	0
CEMP1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
CENATAC	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	1	1
CEND1	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	4
CENPB	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	downregulated	missing	missing	missing	missing	upregulated	missing	2	1
CENPE	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CENPF	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	1	2
CENPH	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CENPJ	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
CENPL	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CENPN	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CENPN-AS1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
CENPP	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CENPQ	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
CENPS-CORT	missing	missing	missing	missing	downregulated	missing	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	3
CENPU	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CENPVL1	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
