Gene,AD vs Control: Temporal Cortex - Log2(fold change) - RIN Corrected,AD vs Control: Temporal Cortex - SVA P-value -  RIN corrected,,,
HSD17B8,-0.068,7.73E-01,,,
HSD3B7,0.067,7.99E-01,,,
HSD3BP3,-0.043,9.84E-01,,,
HSD3BP4,-0.047,9.78E-01,,,
HSD3BP5,-0.057,8.68E-01,,,
HSDL1,-0.038,8.28E-01,,,
HSDL2,-0.173,2.36E-01,,,
HSF1,0.126,2.45E-01,,,
HSF2,-0.070,5.27E-01,,,
HSF4,0.061,5.86E-01,,,
HSFX1,0.279,3.57E-01,,,
HSFX2,-0.237,7.23E-01,,,
HSFY4P,-0.040,6.89E-01,,,
HSP90AA1,0.072,5.63E-01,,,
HSP90AB1,-0.130,6.20E-01,,,
HSP90AB4P,0.042,6.38E-01,,,
HSP90B1,-0.068,8.43E-01,,,
HSP90B2P,-0.068,4.12E-01,,,
HSPA12A,-0.038,8.91E-01,,,
HSPA13,-0.104,3.11E-01,,,
HSPA14,-0.063,2.11E-01,,,
HSPA1A,0.077,9.13E-01,,,
HSPA1B,0.143,7.98E-01,,,
HSPA1L,0.094,3.68E-01,,,
HSPA2,0.253,2.32E-01,,,
HSPA4,0.015,8.40E-01,,,
HSPA4L,-0.067,8.59E-01,,,
HSPA5,0.014,8.61E-01,,,
HSPA6,-0.054,6.50E-01,,,
HSPA7,0.027,9.81E-01,,,
HSPA8,-0.015,9.79E-01,,,
HSPA8P14,-0.009,9.62E-01,,,
HSPA8P15,-0.010,9.78E-01,,,
HSPA8P19,-0.030,7.52E-01,,,
HSPA8P3,0.037,6.86E-01,,,
HSPA8P4,-0.039,8.46E-01,,,
HSPA9,-0.009,8.72E-01,,,
HSPB1,0.255,4.94E-01,,,
HSPB11,-0.010,6.71E-01,,,
HSPB2,0.053,8.39E-01,,,
HSPB3,-0.195,2.01E-01,,,
HSPB8,-0.040,8.47E-01,,,
HSPBAP1,-0.061,8.13E-01,,,
HSPBP1,0.096,8.46E-01,,,
HSPD1,0.002,8.66E-01,,,
HSPD1P11,-0.024,9.31E-01,,,
HSPD1P12,0.004,9.19E-01,,,
HSPD1P13,0.007,8.82E-01,,,
HSPD1P22,0.074,6.63E-01,,,
HSPE1,0.063,7.94E-01,,,
HSPE1P3,0.018,7.50E-01,,,
HSPE1P7,-0.009,9.95E-01,,,
HSPE1P8,0.014,7.17E-01,,,
HSPG2,0.083,7.65E-01,,,
HSPH1,0.007,8.64E-01,,,
HTATIP2,0.063,5.79E-01,,,
HTATSF1,-0.051,5.76E-01,,,
HTATSF1P2,-0.036,8.74E-01,,,
HTR1A,-0.049,9.13E-01,,,
HTR1B,0.008,6.86E-01,,,
HTR1DP1,-0.061,8.62E-01,,,
HTR1E,-0.092,7.98E-01,,,
HTR1F,-0.049,7.84E-01,,,
HTR2A,-0.345,2.18E-01,,,
HTR2B,-0.026,6.71E-01,,,
HTR2C,-0.065,7.90E-01,,,
HTR3B,-0.180,3.09E-01,,,
HTR4,-0.043,7.79E-01,,,
HTR5A,-0.124,5.59E-01,,,
HTR5A-AS1,-0.026,9.43E-01,,,
HTR5BP,-0.040,6.65E-01,,,
HTR7,-0.030,8.32E-01,,,
HTR7P1,0.017,8.56E-01,,,
HTRA1,-0.078,5.99E-01,,,
HTRA2,0.074,5.31E-01,,,
HTRA4,-0.001,6.41E-01,,,
HTT,0.012,7.62E-01,,,
HUNK,-0.032,5.23E-01,,,
HUS1,0.007,8.11E-01,,,
HUWE1,0.011,7.17E-01,,,
HVCN1,0.039,6.75E-01,,,
HYAL1,0.040,7.91E-01,,,
HYAL2,0.029,9.85E-01,,,
HYAL3,0.087,4.03E-01,,,
HYDIN,0.007,6.75E-01,,,
HYDIN2,0.026,4.48E-01,,,
HYI,0.019,9.90E-01,,,
HYKK,0.009,9.19E-01,,,
HYLS1,-0.011,8.85E-01,,,
HYOU1,-0.027,8.86E-01,,,
HYPK,0.027,9.71E-01,,,
IAH1,-0.029,7.13E-01,,,
IAPP,0.011,9.90E-01,,,
IARS,-0.011,6.78E-01,,,
IARS2,-0.008,9.84E-01,,,
IBA57,0.016,9.50E-01,,,
IBTK,-0.073,4.03E-01,,,
ICA1,-0.113,2.40E-01,,,
ICA1L,-0.057,6.27E-01,,,
ICAM1,0.056,9.05E-01,,,
ICAM2,-0.018,9.81E-01,,,
ICAM5,0.132,8.54E-01,,,
ICE1,-0.018,4.53E-01,,,
ICE2,0.006,8.13E-01,,,
ICK,-0.029,7.87E-01,,,
ICMT,0.002,9.25E-01,,,
ICOSLG,0.177,5.01E-01,,,
ICT1,-0.094,3.09E-01,,,
ID1,0.021,8.82E-01,,,
ID2,-0.024,6.98E-01,,,
ID2-AS1,-0.071,4.13E-01,,,
ID3,0.206,4.11E-01,,,
ID4,-0.133,5.27E-01,,,
IDE,-0.001,7.87E-01,,,
IDH1,0.007,8.01E-01,,,
IDH2,-0.078,5.34E-01,,,
IDH3A,-0.044,7.25E-01,,,
IDH3B,0.000,9.02E-01,,,
IDH3G,-0.020,6.54E-01,,,
IDI1,-0.066,6.75E-01,,,
IDI2-AS1,0.000,8.49E-01,,,
IDNK,-0.046,5.99E-01,,,
IDO1,0.009,9.74E-01,,,
IDS,-0.076,6.39E-01,,,
IDSP1,0.068,9.76E-01,,,
IDUA,0.193,2.94E-01,,,
IER2,0.074,8.09E-01,,,
IER3,-0.022,8.08E-01,,,
IER3IP1,-0.071,3.71E-01,,,
IER5,0.069,6.84E-01,,,
IER5L,0.151,6.94E-01,,,
IFFO1,0.110,4.12E-01,,,
IFFO2,0.056,3.73E-01,,,
IFI16,0.045,9.74E-01,,,
IFI27,-0.041,7.09E-01,,,
IFI27L1,-0.034,8.11E-01,,,
IFI27L2,0.047,8.17E-01,,,
IFI30,0.033,9.28E-01,,,
IFI35,0.080,8.93E-01,,,
IFI44,0.026,9.47E-01,,,
IFI44L,0.024,8.91E-01,,,
IFI6,0.137,6.20E-01,,,
IFIH1,0.111,4.04E-01,,,
IFIT1,0.036,6.36E-01,,,
IFIT2,0.071,6.20E-01,,,
IFIT3,0.039,8.36E-01,,,
IFIT5,-0.048,7.22E-01,,,
IFITM1,-0.048,7.99E-01,,,
IFITM10,0.115,4.00E-01,,,
IFITM2,-0.002,9.57E-01,,,
IFITM3,-0.077,8.20E-01,,,
IFNA11P,0.101,5.69E-01,,,
IFNA12P,-0.037,9.56E-01,,,
IFNAR1,-0.061,5.55E-01,,,
IFNAR2,-0.025,4.16E-01,,,
IFNGR1,-0.063,7.53E-01,,,
IFNGR2,-0.034,7.30E-01,,,
IFNK,0.002,8.40E-01,,,
IFNLR1,-0.044,6.75E-01,,,
IFRD1,0.032,9.90E-01,,,
IFRD2,0.166,2.50E-01,,,
IFT122,0.023,9.60E-01,,,
IFT140,0.096,2.94E-01,,,
IFT172,0.006,8.39E-01,,,
IFT20,-0.046,7.43E-01,,,
IFT22,-0.035,4.94E-01,,,
IFT27,-0.072,5.24E-01,,,
IFT43,-0.027,5.51E-01,,,
IFT46,0.026,8.23E-01,,,
IFT52,-0.021,6.21E-01,,,
IFT57,-0.031,5.06E-01,,,
IFT74,-0.084,4.22E-01,,,
IFT80,-0.053,8.89E-01,,,
IFT81,-0.070,2.01E-01,,,
IFT88,-0.048,4.41E-01,,,
IGBP1,-0.029,9.07E-01,,,
IGDCC4,0.200,1.94E-01,,,
IGF1,-0.020,9.67E-01,,,
IGF1R,0.033,5.51E-01,,,
IGF2,0.055,8.70E-01,,,
IGF2R,-0.028,6.71E-01,,,
IGFBP2,0.012,9.01E-01,,,
IGFBP3,-0.226,4.51E-01,,,
IGFBP4,-0.119,4.89E-01,,,
IGFBP5,0.082,4.36E-01,,,
IGFBP6,-0.003,9.90E-01,,,
IGFBP7,-0.189,2.53E-01,,,
IGFBPL1,0.018,9.11E-01,,,
IGFL2,-0.013,9.00E-01,,,
IGFL4,-0.018,7.68E-01,,,
IGFLR1,0.069,8.59E-01,,,
IGHMBP2,0.037,8.74E-01,,,
IGHVII-20-1,-0.027,9.43E-01,,,
IGIP,-0.045,9.85E-01,,,
IGKV1OR-2,-0.035,9.46E-01,,,
IGKV1OR2-118,-0.052,9.84E-01,,,
IGL,0.000,9.79E-01,,,
IGLON5,0.062,4.29E-01,,,
IGSF1,-0.004,9.81E-01,,,
IGSF10,-0.027,6.47E-01,,,
IGSF11,-0.006,7.57E-01,,,
IGSF11-AS1,0.006,8.11E-01,,,
IGSF21,0.101,5.43E-01,,,
IGSF3,-0.123,4.64E-01,,,
IGSF6,0.146,4.93E-01,,,
IGSF8,0.116,6.29E-01,,,
IGSF9B,0.304,3.02E-01,,,
IK,-0.023,9.06E-01,,,
IKBIP,0.035,6.26E-01,,,
IKBKAP,-0.015,9.93E-01,,,
IKBKB,0.056,3.49E-01,,,
IKBKG,0.113,4.84E-01,,,
IKZF1,0.119,3.35E-01,,,
IKZF2,-0.020,8.08E-01,,,
IKZF3,-0.025,6.24E-01,,,
IKZF4,0.003,7.78E-01,,,
IKZF5,-0.100,5.35E-01,,,
IL10,-0.031,6.61E-01,,,
IL10RA,0.081,6.51E-01,,,
IL10RB,0.013,9.35E-01,,,
IL10RB-AS1,0.096,3.81E-01,,,
IL11,-0.020,7.70E-01,,,
IL11RA,0.013,8.38E-01,,,
IL12RB1,0.018,9.78E-01,,,
IL12RB2,-0.078,2.17E-01,,,
IL13RA1,0.000,9.48E-01,,,
IL13RA2,-0.059,7.57E-01,,,
IL16,0.015,5.83E-01,,,
IL17D,-0.020,8.96E-01,,,
IL17RA,0.076,3.21E-01,,,
IL17RB,-0.029,8.57E-01,,,
IL17RC,0.106,4.36E-01,,,
IL17RD,-0.013,9.83E-01,,,
IL18,0.016,7.79E-01,,,
IL18BP,0.022,9.41E-01,,,
IL1B,-0.102,9.90E-01,,,
IL1R1,-0.148,3.37E-01,,,
IL1RAP,-0.122,2.00E-01,,,
IL1RAPL1,-0.032,9.09E-01,,,
IL1RAPL2,-0.071,3.13E-01,,,
IL1RL1,-0.213,7.38E-01,,,
IL27RA,0.026,8.12E-01,,,
IL32,0.034,9.36E-01,,,
IL33,-0.119,5.03E-01,,,
IL34,0.172,3.50E-01,,,
IL3RA,0.028,9.90E-01,,,
IL4R,-0.119,6.42E-01,,,
IL6R,0.001,9.90E-01,,,
IL6ST,-0.044,7.19E-01,,,
IL7,-0.090,3.77E-01,,,
ILDR2,-0.053,4.33E-01,,,
ILF2,0.000,8.48E-01,,,
ILF2P2,0.110,1.40E-01,,,
ILF3,0.030,9.90E-01,,,
ILF3-AS1,0.005,9.57E-01,,,
ILK,0.026,5.89E-01,,,
ILKAP,0.036,7.51E-01,,,
ILVBL,0.124,2.05E-01,,,
IMMP1L,-0.084,7.64E-01,,,
IMMP2L,-0.225,1.40E-01,,,
IMMT,-0.017,6.92E-01,,,
IMP3,0.054,5.56E-01,,,
IMP4,0.001,8.51E-01,,,
IMPA1,-0.063,6.91E-01,,,
IMPA1P,-0.031,6.96E-01,,,
IMPA2,-0.046,6.35E-01,,,
IMPACT,-0.124,2.70E-01,,,
IMPAD1,-0.095,2.37E-01,,,
IMPDH1,0.111,2.90E-01,,,
IMPDH1P10,0.095,7.20E-01,,,
IMPDH1P11,0.093,2.34E-01,,,
IMPDH2,-0.026,7.99E-01,,,
INA,-0.169,6.26E-01,,,
INADL,-0.052,3.38E-01,,,
INAFM1,0.111,4.80E-01,,,
INAFM2,-0.070,4.88E-01,,,
INCENP,0.066,4.36E-01,,,
INE1,0.032,8.55E-01,,,
INE2,-0.030,8.51E-01,,,
INF2,0.303,2.74E-01,,,
ING1,0.029,6.79E-01,,,
ING2,-0.010,8.01E-01,,,
ING3,-0.116,1.67E-01,,,
ING4,-0.008,9.65E-01,,,
ING5,0.059,4.85E-01,,,
INGX,0.003,9.97E-01,,,
INHBA-AS1,-0.078,3.43E-01,,,
INIP,-0.063,2.59E-01,,,
INMT,-0.058,8.20E-01,,,
INO80,0.038,9.43E-01,,,
INO80B,0.213,4.74E-01,,,
INO80B-WBP1,-0.125,5.55E-01,,,
INO80C,-0.069,7.26E-01,,,
INO80D,-0.045,6.40E-01,,,
INO80E,0.099,4.99E-01,,,
INPP1,0.014,8.56E-01,,,
INPP4A,-0.117,2.82E-01,,,
INPP4B,-0.080,3.62E-01,,,
INPP5A,0.015,9.82E-01,,,
INPP5B,-0.034,5.44E-01,,,
INPP5D,0.030,6.62E-01,,,
INPP5E,0.113,2.66E-01,,,
INPP5F,-0.094,6.30E-01,,,
INPP5J,0.127,3.47E-01,,,
INPP5K,0.032,8.83E-01,,,
INPPL1,0.120,2.89E-01,,,
INSIG1,0.009,9.40E-01,,,
INSIG2,-0.098,4.26E-01,,,
INSL6,0.004,5.90E-01,,,
INSR,0.000,8.24E-01,,,
INTS1,0.189,3.77E-01,,,
INTS10,-0.044,4.68E-01,,,
INTS12,-0.012,9.74E-01,,,
INTS2,-0.029,7.99E-01,,,
INTS3,-0.046,5.09E-01,,,
INTS4,0.047,5.06E-01,,,
INTS4P1,0.007,9.84E-01,,,
INTS4P2,-0.069,3.37E-01,,,
INTS5,0.059,5.18E-01,,,
INTS6,-0.008,7.95E-01,,,
INTS6-AS1,0.001,7.33E-01,,,
INTS7,0.011,7.54E-01,,,
INTS8,-0.016,7.52E-01,,,
INTS9,-0.022,6.67E-01,,,
INTU,-0.074,4.22E-01,,,
INVS,0.034,3.49E-01,,,
IP6K1,0.025,4.60E-01,,,
IP6K2,0.034,8.24E-01,,,
IP6K3,0.152,2.59E-01,,,
IPCEF1,-0.215,2.97E-01,,,
IPMK,-0.119,2.50E-01,,,
IPO11,-0.042,4.22E-01,,,
IPO13,0.131,1.51E-01,,,
IPO4,0.063,5.50E-01,,,
IPO5,-0.074,5.05E-01,,,
IPO5P1,-0.013,9.03E-01,,,
IPO7,-0.055,7.17E-01,,,
IPO8,-0.005,8.55E-01,,,
IPO8P1,-0.008,9.13E-01,,,
IPO9,-0.013,9.47E-01,,,
IPP,-0.082,3.24E-01,,,
IPPK,0.027,9.38E-01,,,
IPPKP1,-0.027,7.13E-01,,,
IPW,-0.136,4.41E-01,,,
IQCA1,-0.025,9.87E-01,,,
IQCB1,-0.088,6.34E-01,,,
IQCC,-0.029,5.96E-01,,,
IQCD,0.043,5.16E-01,,,
IQCE,0.095,2.26E-01,,,
IQCG,-0.060,4.45E-01,,,
IQCH,-0.045,6.62E-01,,,
IQCH-AS1,0.029,6.29E-01,,,
IQCJ,-0.158,6.76E-01,,,
IQCJ-SCHIP1,-0.142,5.97E-01,,,
IQCJ-SCHIP1-AS1,0.022,9.99E-01,,,
IQCK,0.008,9.90E-01,,,
IQGAP1,0.053,5.74E-01,,,
IQSEC1,0.128,3.62E-01,,,
IQSEC2,0.140,3.73E-01,,,
IQSEC3,0.112,5.65E-01,,,
IQSEC3P2,0.071,7.65E-01,,,
IQUB,-0.057,8.30E-01,,,
IRAK1,0.146,3.67E-01,,,
IRAK1BP1,-0.061,6.37E-01,,,
IRAK2,0.119,3.05E-01,,,
IRAK3,-0.084,8.37E-01,,,
IRAK4,-0.008,7.96E-01,,,
IREB2,-0.077,3.91E-01,,,
IRF1,-0.005,9.85E-01,,,
IRF2,-0.004,9.99E-01,,,
IRF2BP1,0.169,3.43E-01,,,
IRF2BP2,-0.002,9.83E-01,,,
IRF2BPL,0.126,3.76E-01,,,
IRF3,0.051,6.23E-01,,,
IRF5,0.075,3.49E-01,,,
IRF7,0.116,3.67E-01,,,
IRF8,0.126,2.89E-01,,,
IRF9,0.077,8.51E-01,,,
IRGM,-0.012,9.93E-01,,,
IRGQ,-0.015,4.98E-01,,,
IRS1,0.058,2.45E-01,,,
IRS2,0.008,7.52E-01,,,
IRS3P,0.030,9.56E-01,,,
ISCA1,-0.068,6.90E-01,,,
ISCA2,-0.020,9.54E-01,,,
ISCU,-0.058,8.47E-01,,,
ISG15,0.245,4.33E-01,,,
ISG20,-0.018,8.37E-01,,,
ISG20L2,0.003,9.99E-01,,,
ISLR,0.239,1.67E-01,,,
ISLR2,0.122,6.05E-01,,,
ISOC1,-0.006,9.79E-01,,,
ISOC2,0.053,8.00E-01,,,
ISPD,-0.029,7.88E-01,,,
IST1,-0.004,9.14E-01,,,
ISY1,0.021,8.39E-01,,,
ISY1-RAB43,-0.025,7.48E-01,,,
ISYNA1,0.194,3.20E-01,,,
ITCH,0.009,9.24E-01,,,
ITFG1,-0.104,2.69E-01,,,
ITFG2,0.068,4.85E-01,,,
ITFG3,0.109,3.45E-01,,,
ITGA1,-0.080,5.72E-01,,,
ITGA10,0.050,5.56E-01,,,
ITGA2,0.057,4.80E-01,,,
ITGA3,0.016,7.73E-01,,,
ITGA4,-0.047,3.23E-01,,,
ITGA5,0.033,9.87E-01,,,
ITGA6,-0.005,9.90E-01,,,
ITGA7,0.076,4.20E-01,,,
ITGA8,-0.027,8.21E-01,,,
ITGA9,-0.095,3.09E-01,,,
ITGA9-AS1,0.014,8.95E-01,,,
ITGAM,0.053,4.64E-01,,,
ITGAV,-0.069,6.66E-01,,,
ITGAX,0.195,1.40E-01,,,
ITGB1,0.006,9.62E-01,,,
ITGB1BP1,-0.026,6.90E-01,,,
ITGB1P1,-0.150,4.34E-01,,,
ITGB2,0.184,3.15E-01,,,
ITGB3BP,0.025,4.91E-01,,,
ITGB4,0.100,7.71E-01,,,
ITGB5,0.222,2.17E-01,,,
ITGB8,-0.070,9.80E-01,,,
ITGBL1,-0.076,7.62E-01,,,
ITIH4,0.029,9.28E-01,,,
ITIH5,0.069,7.94E-01,,,
ITM2A,0.002,8.05E-01,,,
ITM2B,-0.205,1.40E-01,,,
ITM2BP1,0.088,4.96E-01,,,
ITM2C,-0.056,5.27E-01,,,
ITPA,0.026,9.16E-01,,,
ITPK1,0.119,2.36E-01,,,
ITPK1-AS1,0.072,6.22E-01,,,
ITPKA,0.115,5.44E-01,,,
ITPKB,0.225,2.00E-01,,,
ITPKB-IT1,0.148,2.43E-01,,,
ITPKC,0.046,9.06E-01,,,
ITPR1,-0.138,4.85E-01,,,
ITPR2,0.025,8.77E-01,,,
ITPR3,0.047,8.70E-01,,,
ITPRIP,0.010,8.93E-01,,,
ITPRIPL2,0.077,4.86E-01,,,
ITSN1,0.003,7.49E-01,,,
ITSN2,-0.035,6.70E-01,,,
IVD,0.018,8.69E-01,,,
IVNS1ABP,0.047,5.65E-01,,,
IWS1,0.051,3.22E-01,,,
IZUMO2,0.001,9.21E-01,,,
IZUMO4,-0.070,8.40E-01,,,
JADE1,-0.095,2.53E-01,,,
JADE2,0.038,5.72E-01,,,
JADE3,0.058,4.77E-01,,,
JAG1,-0.146,1.47E-01,,,
JAG2,0.148,6.97E-01,,,
JAGN1,0.090,3.59E-01,,,
JAK1,-0.042,7.00E-01,,,
JAK2,-0.038,8.72E-01,,,
JAK3,-0.002,9.43E-01,,,
JAKMIP1,-0.104,2.83E-01,,,
JAKMIP2,-0.009,9.90E-01,,,
JAKMIP2-AS1,-0.094,5.34E-01,,,
JAKMIP3,0.117,4.41E-01,,,
JAM2,-0.002,8.93E-01,,,
JAM3,0.138,4.11E-01,,,
JARID2,0.016,6.23E-01,,,
JAZF1,-0.068,4.19E-01,,,
JAZF1-AS1,-0.052,7.59E-01,,,
JDP2,0.140,2.00E-01,,,
JKAMP,-0.022,9.24E-01,,,
JMJD1C,-0.050,3.62E-01,,,
JMJD4,0.079,8.74E-01,,,
JMJD6,0.098,6.03E-01,,,
JMJD7,0.041,7.91E-01,,,
JMJD8,0.077,5.11E-01,,,
JMY,-0.070,7.22E-01,,,
JOSD1,-0.029,4.48E-01,,,
JOSD2,0.348,1.98E-01,,,
JPH1,-0.090,3.90E-01,,,
JPH3,0.147,3.22E-01,,,
JPH4,0.159,3.19E-01,,,
JPX,0.013,9.89E-01,,,
JRK,0.059,3.71E-01,,,
JRKL,-0.033,9.88E-01,,,
JTB,0.027,7.06E-01,,,
JUN,0.044,9.77E-01,,,
JUNB,0.227,5.16E-01,,,
JUND,0.241,1.61E-01,,,
JUP,0.130,2.71E-01,,,
KAL1,-0.061,4.84E-01,,,
KALP,-0.117,8.30E-01,,,
KALRN,-0.149,1.98E-01,,,
KANK1,0.002,8.29E-01,,,
KANK2,0.159,2.16E-01,,,
KANK3,0.017,8.97E-01,,,
KANK4,0.060,2.79E-01,,,
KANSL1,0.100,6.48E-01,,,
KANSL1-AS1,0.186,6.67E-01,,,
KANSL1L,0.030,8.57E-01,,,
KANSL2,0.022,9.40E-01,,,
KANSL3,-0.004,9.40E-01,,,
KANTR,0.022,8.15E-01,,,
KARS,-0.013,9.31E-01,,,
KAT2A,0.042,5.80E-01,,,
KAT2B,-0.019,9.00E-01,,,
KAT5,0.017,9.97E-01,,,
KAT6A,0.018,5.18E-01,,,
KAT6B,-0.046,6.35E-01,,,
KAT7,-0.041,5.63E-01,,,
KAT8,-0.002,7.85E-01,,,
KATNA1,0.004,8.72E-01,,,
KATNAL1,-0.020,6.70E-01,,,
KATNAL2,-0.076,4.13E-01,,,
KATNB1,0.080,7.39E-01,,,
KATNBL1,-0.040,4.41E-01,,,
KATNBL1P4,-0.063,4.30E-01,,,
KAZN,0.074,3.77E-01,,,
KBTBD11,-0.096,2.83E-01,,,
KBTBD12,0.012,9.55E-01,,,
KBTBD2,-0.053,6.20E-01,,,
KBTBD3,-0.060,8.17E-01,,,
KBTBD4,-0.020,9.10E-01,,,
KBTBD6,-0.083,4.07E-01,,,
KBTBD7,0.007,7.73E-01,,,
KBTBD8,-0.084,3.66E-01,,,
KCMF1,-0.025,8.47E-01,,,
KCNA1,0.012,9.27E-01,,,
KCNA2,0.009,5.83E-01,,,
KCNA3,-0.092,4.86E-01,,,
KCNA4,-0.240,2.01E-01,,,
KCNA5,-0.039,9.18E-01,,,
KCNA6,0.001,9.82E-01,,,
KCNAB1,-0.107,2.95E-01,,,
KCNAB2,0.054,6.24E-01,,,
KCNAB3,0.057,8.24E-01,,,
KCNB1,-0.050,8.11E-01,,,
KCNB2,-0.145,2.39E-01,,,
KCNC1,0.107,2.45E-01,,,
KCNC2,-0.256,2.52E-01,,,
KCNC3,0.183,3.00E-01,,,
KCNC4,0.083,3.61E-01,,,
KCND2,-0.148,4.30E-01,,,
KCND3,0.088,2.39E-01,,,
KCND3-IT1,0.088,7.39E-01,,,
KCNE3,-0.038,8.76E-01,,,
KCNE4,0.095,4.31E-01,,,
KCNF1,0.039,8.65E-01,,,
KCNG1,0.063,8.42E-01,,,
KCNG2,0.146,1.98E-01,,,
KCNG3,-0.181,2.00E-01,,,
KCNH1,-0.140,3.49E-01,,,
KCNH2,0.129,2.55E-01,,,
KCNH3,0.178,5.09E-01,,,
KCNH5,-0.109,6.57E-01,,,
KCNH7,-0.047,9.79E-01,,,
KCNH8,0.014,9.71E-01,,,
KCNIP1,-0.088,2.53E-01,,,
KCNIP2,0.034,3.38E-01,,,
KCNIP2-AS1,-0.041,9.74E-01,,,
KCNIP3,0.117,8.89E-01,,,
KCNIP4,-0.178,2.17E-01,,,
KCNIP4-IT1,-0.113,5.27E-01,,,
KCNJ10,0.177,2.71E-01,,,
KCNJ11,0.074,3.24E-01,,,
KCNJ12,0.035,9.48E-01,,,
KCNJ13,-0.045,4.85E-01,,,
KCNJ16,0.020,9.46E-01,,,
KCNJ2,0.079,5.07E-01,,,
KCNJ2-AS1,0.079,5.97E-01,,,
KCNJ3,-0.124,5.83E-01,,,
KCNJ4,0.179,4.99E-01,,,
KCNJ5,-0.015,9.05E-01,,,
KCNJ6,-0.126,6.50E-01,,,
KCNJ8,0.031,8.89E-01,,,
KCNJ9,0.084,2.68E-01,,,
KCNK1,0.001,9.78E-01,,,
KCNK10,-0.105,2.64E-01,,,
KCNK12,0.134,1.86E-01,,,
KCNK2,-0.038,6.37E-01,,,
KCNK3,0.013,8.03E-01,,,
KCNK4,0.125,3.50E-01,,,
KCNK9,0.083,3.70E-01,,,
KCNMA1,-0.041,5.92E-01,,,
KCNMA1-AS3,-0.059,8.78E-01,,,
KCNMB2,-0.093,3.97E-01,,,
KCNMB3,0.007,8.08E-01,,,
KCNMB4,0.093,3.68E-01,,,
KCNN1,0.226,2.08E-01,,,
KCNN2,-0.116,1.62E-01,,,
KCNN3,-0.051,9.22E-01,,,
KCNQ1OT1,0.012,7.56E-01,,,
KCNQ2,0.149,4.00E-01,,,
KCNQ3,-0.112,3.95E-01,,,
KCNQ4,0.039,8.05E-01,,,
KCNQ5,-0.151,4.64E-01,,,
KCNQ5-IT1,0.007,6.68E-01,,,
KCNRG,0.029,7.79E-01,,,
KCNS1,0.007,7.07E-01,,,
KCNS2,0.001,9.90E-01,,,
KCNS3,-0.002,9.31E-01,,,
KCNT1,0.124,5.29E-01,,,
KCNT2,-0.099,1.55E-01,,,
KCNV1,-0.194,2.01E-01,,,
KCTD1,-0.091,6.58E-01,,,
KCTD10,0.017,7.33E-01,,,
KCTD10P1,-0.110,8.83E-01,,,
KCTD11,0.129,2.83E-01,,,
KCTD12,-0.120,5.72E-01,,,
KCTD13,0.048,8.85E-01,,,
KCTD15,-0.050,7.24E-01,,,
KCTD16,-0.147,4.71E-01,,,
KCTD17,0.105,4.41E-01,,,
KCTD18,0.005,9.85E-01,,,
KCTD2,-0.028,9.97E-01,,,
KCTD20,-0.039,5.33E-01,,,
KCTD21,0.025,9.81E-01,,,
KCTD3,-0.043,5.92E-01,,,
KCTD4,0.013,9.51E-01,,,
KCTD5,0.090,5.02E-01,,,
KCTD6,-0.002,9.85E-01,,,
KCTD7,-0.003,9.60E-01,,,
KCTD8,-0.043,9.55E-01,,,
KCTD9,-0.019,9.84E-01,,,
KCTD9P1,0.025,7.11E-01,,,
KCTD9P4,0.030,6.64E-01,,,
KDELC1,-0.029,8.97E-01,,,
KDELC1P1,-0.040,5.42E-01,,,
KDELC2,-0.013,9.22E-01,,,
KDELR1,0.021,9.19E-01,,,
KDELR2,-0.052,4.17E-01,,,
KDELR3,-0.014,8.71E-01,,,
KDM1A,-0.035,6.46E-01,,,
KDM1B,-0.003,7.91E-01,,,
KDM2A,0.023,8.51E-01,,,
KDM2B,0.076,2.45E-01,,,
KDM3A,-0.061,5.34E-01,,,
KDM3B,-0.013,9.94E-01,,,
KDM4A,-0.030,4.64E-01,,,
KDM4A-AS1,0.065,3.97E-01,,,
KDM4B,0.081,7.13E-01,,,
KDM4C,0.018,9.02E-01,,,
KDM5A,-0.025,3.65E-01,,,
KDM5B,-0.029,6.71E-01,,,
KDM5C,0.057,7.31E-01,,,
KDM5D,-0.365,7.61E-01,,,
KDM6A,0.051,6.85E-01,,,
KDM6B,0.102,3.45E-01,,,
KDM7A,-0.044,6.35E-01,,,
KDM8,0.054,6.35E-01,,,
KDR,-0.008,7.62E-01,,,
KDSR,-0.030,7.94E-01,,,
KEAP1,0.089,3.13E-01,,,
KEL,0.046,7.25E-01,,,
KGFLP1,-0.235,6.05E-01,,,
KGFLP2,-0.107,5.98E-01,,,
KHDC1,0.013,8.91E-01,,,
KHDRBS1,-0.004,5.34E-01,,,
KHDRBS2,-0.013,8.61E-01,,,
KHDRBS3,-0.093,5.33E-01,,,
KHK,0.077,2.81E-01,,,
KHNYN,0.076,3.94E-01,,,
KHSRP,0.148,1.94E-01,,,
KIAA0020,-0.019,6.62E-01,,,
KIAA0040,0.011,8.92E-01,,,
KIAA0100,0.029,4.22E-01,,,
KIAA0141,0.058,5.13E-01,,,
KIAA0195,0.072,5.44E-01,,,
KIAA0196,0.013,8.74E-01,,,
KIAA0226,0.077,2.54E-01,,,
KIAA0226L,-0.024,6.78E-01,,,
KIAA0232,-0.027,8.15E-01,,,
KIAA0319,-0.116,1.98E-01,,,
KIAA0319L,-0.030,7.22E-01,,,
KIAA0355,0.021,6.01E-01,,,
