gene,hugo,logFC,AveExpr,t,P.Value,adj.P.Val,B,se,chr,N
ENSG00000121774,KHDRBS1,-0.384430459,5.834985542,-4.784047835,4.46E-05,0.002170366,1.803492343,0.080356734,1,39
ENSG00000114331,ACAP2,0.307364532,6.356947536,4.783703959,4.46E-05,0.002170366,1.81676428,0.064252415,3,39
ENSG00000250125,LINC02232,-1.56538142,0.232185156,-4.781013724,4.53E-05,0.002194813,2.06895289,0.327416216,4,39
ENSG00000137331,IER3,1.059473682,1.719001299,4.77813535,4.56E-05,0.002205359,2.057314163,0.221733711,6,39
ENSG00000123104,ITPR2,0.36235039,7.251233139,4.774971957,4.58E-05,0.002205359,1.833161975,0.075885344,12,39
ENSG00000185130,HIST1H2BL,-1.157182092,0.122506809,-4.765822987,4.72E-05,0.002265125,2.016941228,0.24280845,6,39
ENSG00000130724,CHMP2A,-0.314183155,4.522606373,-4.763412266,4.73E-05,0.002265125,1.787302636,0.065957582,19,39
ENSG00000279561,AL845472.2,-0.943410046,4.120560493,-4.761886133,4.78E-05,0.002283128,1.789918219,0.198116885,9,39
ENSG00000276417,AC092111.2,-0.671238552,2.266929926,-4.75880721,4.80E-05,0.002286061,1.991594956,0.141051848,12,39
ENSG00000066294,CD84,1.077732384,3.140187367,4.758842811,4.82E-05,0.002286061,1.902258714,0.226469423,1,39
ENSG00000164692,COL1A2,1.450916123,3.592342214,4.758461213,4.82E-05,0.002286061,1.845796935,0.304912882,7,39
ENSG00000151806,GUF1,-0.387210612,4.995414468,-4.751539225,4.89E-05,0.002309469,1.803658134,0.081491616,4,39
ENSG00000183837,PNMA3,-0.938730443,4.666125105,-4.752157518,4.91E-05,0.002310076,1.745966392,0.197537737,X,39
ENSG00000083312,TNPO1,0.278859005,7.234553957,4.74948967,4.91E-05,0.002310076,1.763966074,0.058713467,5,39
ENSG00000273238,AC116565.1,-0.489203018,4.544581909,-4.748042438,4.96E-05,0.00232793,1.72599781,0.103032571,4,39
ENSG00000251442,LINC01094,0.960202657,3.979462826,4.745125845,5.01E-05,0.002331467,1.793000938,0.202355572,4,39
ENSG00000263412,AC004477.1,0.912850639,0.800230093,4.744191683,5.01E-05,0.002331467,1.977737483,0.192414367,17,39
ENSG00000228223,HCG11,0.444468866,4.380154473,4.742092998,5.03E-05,0.002331467,1.742773484,0.093728416,6,39
ENSG00000197291,RAMP2-AS1,0.955653185,1.450879765,4.743624588,5.03E-05,0.002331467,1.973105962,0.201460543,17,39
ENSG00000141959,PFKL,-0.354850635,6.977117938,-4.735821812,5.10E-05,0.002356207,1.688457176,0.074929051,21,39
ENSG00000270504,AL391422.3,0.774894556,0.968534926,4.735778701,5.11E-05,0.002356207,1.961005077,0.163625584,6,39
ENSG00000164050,PLXNB1,0.684719514,7.759369276,4.735616067,5.14E-05,0.00235879,1.750584166,0.144589322,3,39
ENSG00000272321,AP003355.2,-0.758027451,2.37037498,-4.735455872,5.14E-05,0.00235879,1.889974202,0.160074863,8,39
ENSG00000151632,AKR1C2,1.187388556,2.162068176,4.734210437,5.16E-05,0.00235879,1.931850785,0.250810261,10,39
ENSG00000178947,SMIM10L2A,-0.633773352,5.721524376,-4.73348509,5.17E-05,0.00235879,1.713987751,0.133891486,X,39
ENSG00000167114,SLC27A4,-0.393298846,4.860727812,-4.730505407,5.18E-05,0.00235879,1.698957759,0.083140978,9,39
ENSG00000110200,ANAPC15,-0.496519213,3.110205425,-4.724179508,5.27E-05,0.002395374,1.803072281,0.105101682,11,39
ENSG00000224223,VSTM2A-OT1,-0.818114637,3.05641362,-4.719689292,5.37E-05,0.002431414,1.775529157,0.173340783,7,39
ENSG00000185955,C7orf61,1.699507303,0.324332118,4.716879186,5.42E-05,0.002431414,1.86346216,0.360303335,7,39
ENSG00000109107,ALDOC,-0.467576278,8.723276178,-4.71512332,5.42E-05,0.002431414,1.716695623,0.099165228,17,39
