Gene,logFC,logCPM,PValue,FDR,UP/DOWN,DE Score
ADAT3,0.61,0.0,1.4E-01,2.2E-01,1,0.01
ADC,-0.37,5.2,3.7E-03,1.0E-02,0,0.02
ADCK1,-0.50,3.6,6.2E-05,2.8E-04,0,0.06
ADCK2,-0.13,5.5,1.8E-01,2.7E-01,0,0.00
ADCK3,0.19,5.8,6.3E-02,1.1E-01,1,0.01
ADCK4,-0.05,5.3,7.0E-01,7.7E-01,0,0.00
ADCK5,0.16,2.9,3.3E-01,4.4E-01,1,0.00
ADCY1,-1.09,7.1,5.7E-10,1.0E-08,0,0.29
ADCY2,0.06,7.8,7.1E-01,7.8E-01,1,0.00
ADCY3,-0.10,6.0,3.8E-01,4.8E-01,0,0.00
ADCY4,0.60,4.0,9.4E-04,3.0E-03,1,0.05
ADCY5,0.03,7.1,7.5E-01,8.1E-01,1,0.00
ADCY6,0.25,5.8,2.7E-02,5.5E-02,1,0.01
ADCY7,0.52,3.5,4.0E-02,7.7E-02,1,0.02
ADCY8,0.25,5.4,7.4E-02,1.3E-01,1,0.01
ADCY9,0.22,5.7,1.1E-01,1.8E-01,1,0.01
ADCYAP1,-1.61,1.9,2.3E-08,2.6E-07,0,0.35
ADCYAP1R1,-0.15,8.1,2.3E-01,3.2E-01,0,0.00
ADD1,-0.12,9.1,1.2E-01,1.9E-01,0,0.00
ADD2,-1.68,6.2,3.8E-14,2.6E-12,0,0.56
