Gene,logFC,logCPM,PValue,FDR,UP/DOWN,DE Score
CLEC4A,0.38,0.7,2.3E-01,3.3E-01,1,0.01
CLEC4E,1.28,2.3,5.8E-04,2.0E-03,1,0.11
CLEC4G,-1.51,1.8,2.2E-05,1.1E-04,0,0.20
CLEC5A,0.44,2.4,9.0E-02,1.5E-01,1,0.01
CLEC7A,0.20,2.4,3.8E-01,4.8E-01,1,0.00
CLEC9A,-0.76,2.0,1.2E-02,2.7E-02,0,0.04
CLGN,-0.92,1.3,3.3E-04,1.2E-03,0,0.09
CLHC1,0.39,2.0,2.0E-01,2.8E-01,1,0.01
CLIC1,0.69,6.5,2.5E-08,2.8E-07,1,0.15
CLIC3,0.78,0.3,9.4E-02,1.6E-01,1,0.02
CLIC4,0.56,8.0,7.3E-04,2.5E-03,1,0.05
CLIC5,0.07,2.7,8.2E-01,8.7E-01,1,0.00
CLIC6,0.11,2.7,7.2E-01,7.9E-01,1,0.00
CLINT1,0.11,5.5,2.6E-01,3.5E-01,1,0.00
CLIP1,0.17,6.6,1.0E-01,1.7E-01,1,0.00
CLIP2,0.46,8.8,6.9E-05,3.1E-04,1,0.05
CLIP3,-0.79,8.5,2.7E-11,6.9E-10,0,0.24
CLIP4,0.03,5.7,7.7E-01,8.3E-01,1,0.00
CLK1,1.41,6.9,3.6E-16,6.2E-14,1,0.47
CLK2,0.25,4.7,4.6E-03,1.2E-02,1,0.02
CLK3,0.33,5.6,1.5E-04,6.0E-04,1,0.04
CLK4,1.11,4.8,5.7E-23,2.0E-19,1,0.37
CLMN,0.93,7.2,7.7E-09,1.0E-07,1,0.22
CLMP,-0.80,1.5,1.2E-02,2.8E-02,0,0.04
CLN3,0.26,4.9,6.3E-03,1.6E-02,1,0.02
CLN5,0.13,4.6,2.8E-01,3.7E-01,1,0.00
CLN6,-0.24,4.6,5.2E-02,9.5E-02,0,0.01
CLN8,-0.01,6.3,9.1E-01,9.4E-01,0,0.00
CLNS1A,-0.04,6.5,5.9E-01,6.8E-01,0,0.00
CLOCK,0.06,5.2,6.5E-01,7.3E-01,1,0.00
CLP1,0.22,2.7,1.5E-01,2.2E-01,1,0.00
CLPB,-0.11,4.4,3.8E-01,4.8E-01,0,0.00
CLPP,0.04,5.1,7.2E-01,7.9E-01,1,0.00
CLPSL1,-1.80,0.1,4.8E-06,3.0E-05,0,0.27
CLPTM1,-0.29,7.4,6.6E-04,2.2E-03,0,0.03
CLPTM1L,0.04,6.3,6.4E-01,7.2E-01,1,0.00
CLPX,-0.10,5.4,3.3E-01,4.3E-01,0,0.00
CLSPN,-0.11,0.4,8.1E-01,8.7E-01,0,0.00
CLSTN1,-0.68,9.3,3.5E-13,1.7E-11,0,0.23
CLSTN2,-1.83,6.5,4.4E-11,1.1E-09,0,0.55
CLSTN3,-1.70,6.8,4.1E-17,1.0E-14,0,0.57
CLTA,-0.28,7.0,2.1E-03,6.0E-03,0,0.02
CLTB,-0.39,6.9,8.3E-04,2.7E-03,0,0.03
CLTC,-0.44,8.7,2.2E-05,1.1E-04,0,0.06
CLTCL1,0.03,3.4,9.0E-01,9.3E-01,1,0.00
CLU,0.01,12.6,9.7E-01,9.8E-01,1,0.00
CLUAP1,-0.09,4.8,4.7E-01,5.7E-01,0,0.00
CLUH,-0.43,6.2,3.0E-07,2.6E-06,0,0.08
CLUL1,-1.47,1.6,1.8E-03,5.4E-03,0,0.11
CLVS1,-1.35,2.7,1.0E-08,1.3E-07,0,0.31
CLVS2,-1.10,4.2,1.4E-07,1.3E-06,0,0.22
CLYBL,-0.44,2.8,1.1E-02,2.6E-02,0,0.02
CMAS,-0.76,5.8,1.1E-15,1.5E-13,0,0.25
CMBL,0.02,5.0,8.5E-01,8.9E-01,1,0.00
CMC1,-0.10,3.4,3.5E-01,4.6E-01,0,0.00
CMC2,-0.03,5.5,7.6E-01,8.3E-01,0,0.00
CMIP,-0.77,6.6,1.3E-10,2.8E-09,0,0.22
CMKLR1,0.28,3.9,1.4E-01,2.1E-01,1,0.01
CMPK1,0.53,6.9,1.7E-08,2.0E-07,1,0.12
CMPK2,-0.38,2.8,1.9E-02,4.1E-02,0,0.02
CMSS1,-0.75,4.5,2.5E-10,4.8E-09,0,0.21
CMTM1,0.47,0.7,4.8E-02,8.9E-02,1,0.02
CMTM3,0.54,5.1,7.9E-04,2.6E-03,1,0.05
CMTM4,0.00,7.7,9.9E-01,9.9E-01,0,0.00
CMTM5,-0.83,6.0,1.6E-07,1.4E-06,0,0.16
CMTM6,0.47,5.0,1.6E-04,6.4E-04,1,0.05
CMTM7,0.18,2.6,3.0E-01,4.0E-01,1,0.00
CMTM8,0.60,2.6,1.0E-02,2.4E-02,1,0.03
CMTR1,-0.18,5.8,3.6E-02,7.0E-02,0,0.01
CMTR2,0.41,3.5,6.5E-03,1.6E-02,1,0.02
CMYA5,-0.06,3.7,6.6E-01,7.4E-01,0,0.00
CNBP,0.06,8.1,5.1E-01,6.0E-01,1,0.00
CNDP1,0.01,8.3,9.8E-01,9.9E-01,1,0.00
CNDP2,-0.07,8.1,4.0E-01,5.0E-01,0,0.00
CNEP1R1,0.10,3.9,3.2E-01,4.2E-01,1,0.00
CNFN,-0.05,0.2,9.2E-01,9.4E-01,0,0.00
CNGA3,0.05,1.2,9.2E-01,9.4E-01,1,0.00
CNGA4,0.56,0.8,1.3E-02,2.9E-02,1,0.03
CNGB1,-2.11,2.5,6.3E-07,5.0E-06,0,0.37
CNIH1,-0.02,5.2,8.2E-01,8.7E-01,0,0.00
CNIH2,-0.49,7.8,1.9E-02,4.2E-02,0,0.02
CNIH3,-1.13,4.1,2.4E-11,6.4E-10,0,0.35
CNIH4,0.15,4.9,1.0E-01,1.7E-01,1,0.00
CNKSR1,0.49,2.3,4.2E-02,7.9E-02,1,0.02
CNKSR3,0.78,5.2,3.0E-07,2.5E-06,1,0.15
CNN1,1.53,5.7,6.5E-03,1.6E-02,1,0.09
CNN2,1.14,4.2,2.6E-07,2.2E-06,1,0.21
CNN3,0.16,8.2,1.4E-01,2.1E-01,1,0.00
CNNM1,-1.06,4.6,1.1E-07,1.1E-06,0,0.21
CNNM2,0.07,5.1,5.4E-01,6.4E-01,1,0.00
CNNM3,0.30,5.1,1.0E-03,3.3E-03,1,0.02
CNNM4,-0.21,4.3,3.0E-02,6.1E-02,0,0.01
CNOT1,0.31,6.8,1.0E-03,3.2E-03,1,0.03
CNOT10,0.01,4.0,9.1E-01,9.4E-01,1,0.00
CNOT11,0.16,4.4,5.1E-02,9.4E-02,1,0.01
CNOT2,0.25,5.5,6.8E-04,2.3E-03,1,0.02
CNOT3,-0.04,5.3,6.3E-01,7.1E-01,0,0.00
CNOT4,-0.05,5.0,6.7E-01,7.5E-01,0,0.00
CNOT6,0.45,5.3,4.1E-05,2.0E-04,1,0.06
CNOT6L,0.50,5.2,4.9E-07,4.0E-06,1,0.09
CNOT7,-0.02,5.6,8.7E-01,9.1E-01,0,0.00
CNOT8,0.65,6.4,6.6E-11,1.5E-09,1,0.19
CNP,-0.21,10.9,1.3E-01,2.0E-01,0,0.00
CNPPD1,0.00,6.4,9.9E-01,1.0E+00,1,0.00
CNPY2,-0.35,4.0,2.9E-03,8.1E-03,0,0.02
CNPY3,0.16,6.5,1.5E-01,2.3E-01,1,0.00
CNPY4,0.13,4.1,3.0E-01,4.0E-01,1,0.00
CNR1,-1.96,5.3,4.1E-16,6.8E-14,0,0.65
CNRIP1,-0.83,6.5,2.9E-16,5.3E-14,0,0.28
CNST,-0.15,5.3,1.5E-01,2.3E-01,0,0.00
CNTD1,0.71,0.8,5.4E-03,1.4E-02,1,0.04
CNTD2,0.00,-0.1,1.0E+00,1.0E+00,0,0.00
CNTF,1.03,0.9,2.2E-04,8.4E-04,1,0.11
CNTFR,-0.22,6.6,1.7E-01,2.6E-01,0,0.00
CNTLN,0.63,2.8,5.7E-04,2.0E-03,1,0.06
CNTN1,-0.33,8.2,2.8E-02,5.7E-02,0,0.01
CNTN2,0.29,9.9,1.3E-01,2.0E-01,1,0.01
CNTN3,-0.68,3.0,1.6E-04,6.4E-04,0,0.07
CNTN4,-0.48,3.1,3.0E-02,6.0E-02,0,0.02
CNTN5,-1.31,2.2,7.1E-06,4.3E-05,0,0.19
CNTN6,-1.83,1.4,1.3E-09,2.1E-08,0,0.47
CNTNAP1,-1.22,6.6,1.5E-11,4.3E-10,0,0.38
CNTNAP2,-1.02,6.1,1.2E-07,1.1E-06,0,0.20
CNTNAP3,-0.27,1.8,1.7E-01,2.5E-01,0,0.01
CNTNAP3B,-0.54,0.9,9.1E-02,1.5E-01,0,0.01
CNTNAP4,0.32,7.1,2.7E-02,5.5E-02,1,0.01
CNTNAP5,-1.17,2.1,1.1E-05,6.5E-05,0,0.16
CNTRL,0.20,3.8,1.1E-01,1.8E-01,1,0.00
CNTROB,0.03,4.7,8.1E-01,8.7E-01,1,0.00
COA1,-0.34,5.1,1.4E-04,5.8E-04,0,0.04
COA3,-0.45,6.0,2.1E-06,1.4E-05,0,0.07
COA4,0.00,5.1,9.9E-01,1.0E+00,1,0.00
COA5,0.04,5.7,5.8E-01,6.8E-01,1,0.00
COA6,-0.30,3.9,5.3E-02,9.7E-02,0,0.01
COASY,0.08,6.2,3.9E-01,4.9E-01,1,0.00
COBL,0.71,8.8,2.8E-08,3.1E-07,1,0.15
COBLL1,0.79,5.3,2.3E-05,1.2E-04,1,0.10
COCH,-0.39,1.3,2.1E-01,3.0E-01,0,0.01
COG1,-0.94,5.3,7.6E-16,1.1E-13,0,0.31
COG2,0.24,4.9,2.5E-03,7.1E-03,1,0.02
COG3,0.13,4.6,1.4E-01,2.1E-01,1,0.00
COG4,0.09,6.2,2.8E-01,3.8E-01,1,0.00
COG5,-0.06,4.7,5.5E-01,6.4E-01,0,0.00
COG6,-0.02,4.7,8.5E-01,8.9E-01,0,0.00
COG7,0.00,4.6,9.7E-01,9.8E-01,0,0.00
COG8,-0.04,4.0,7.1E-01,7.9E-01,0,0.00
COIL,-0.18,3.9,4.2E-02,8.0E-02,0,0.01
COL11A1,0.12,3.6,4.3E-01,5.3E-01,1,0.00
COL11A2,-0.01,3.7,9.5E-01,9.7E-01,0,0.00
COL12A1,0.56,3.8,1.0E-01,1.7E-01,1,0.01
COL13A1,1.69,2.8,8.6E-03,2.1E-02,1,0.09
COL14A1,2.47,5.3,5.8E-05,2.7E-04,1,0.29
COL15A1,0.08,1.9,8.7E-01,9.1E-01,1,0.00
COL16A1,0.03,6.4,8.5E-01,8.9E-01,1,0.00
COL17A1,-1.10,0.4,4.3E-05,2.1E-04,0,0.13
COL18A1,1.14,6.6,6.4E-05,2.9E-04,1,0.13
COL19A1,-2.17,-0.1,6.8E-10,1.2E-08,0,0.57
COL1A1,0.78,4.4,1.1E-01,1.8E-01,1,0.02
COL1A2,1.21,6.6,5.8E-04,2.0E-03,1,0.11
COL20A1,0.13,3.6,6.2E-01,7.1E-01,1,0.00
COL21A1,1.11,3.7,2.6E-09,3.9E-08,1,0.28
COL22A1,0.70,-0.3,4.5E-02,8.4E-02,1,0.03
COL23A1,-0.66,2.0,3.0E-03,8.3E-03,0,0.05
COL24A1,-0.08,2.1,7.6E-01,8.2E-01,0,0.00
COL25A1,-1.71,2.0,1.3E-04,5.4E-04,0,0.19
COL27A1,1.27,4.5,6.6E-12,2.1E-10,1,0.41
COL28A1,1.00,1.7,4.0E-03,1.1E-02,1,0.07
COL2A1,-1.09,-0.1,1.1E-02,2.5E-02,0,0.06
COL3A1,1.64,5.6,7.3E-03,1.8E-02,1,0.10
COL4A1,0.55,6.7,1.1E-01,1.7E-01,1,0.01
COL4A2,0.65,7.2,4.7E-02,8.7E-02,1,0.02
COL4A3,0.60,2.5,2.1E-02,4.4E-02,1,0.03
COL4A3BP,-0.05,5.8,6.3E-01,7.2E-01,0,0.00
COL4A4,0.78,2.9,2.6E-04,1.0E-03,1,0.08
COL5A1,0.90,3.4,3.7E-03,9.9E-03,1,0.06
COL5A2,0.66,4.3,4.5E-02,8.4E-02,1,0.02
COL5A3,0.18,6.1,2.6E-01,3.6E-01,1,0.00
COL6A1,0.81,7.2,5.6E-06,3.5E-05,1,0.12
COL6A2,1.33,6.6,4.1E-05,2.0E-04,1,0.16
COL6A3,0.25,3.6,5.8E-01,6.8E-01,1,0.00
COL7A1,0.98,3.8,1.6E-03,4.9E-03,1,0.08
COL8A1,2.19,5.6,2.3E-05,1.2E-04,1,0.29
COL8A2,1.03,4.6,4.7E-06,3.0E-05,1,0.15
COL9A1,0.23,2.9,2.4E-01,3.3E-01,1,0.00
COL9A2,-0.17,6.9,1.1E-01,1.8E-01,0,0.00
COL9A3,-0.49,5.5,1.3E-04,5.5E-04,0,0.05
COLCA1,-0.30,2.0,1.8E-01,2.6E-01,0,0.01
COLCA2,0.24,2.5,2.5E-01,3.5E-01,1,0.00
COLEC11,0.29,1.2,5.2E-01,6.1E-01,1,0.00
COLEC12,0.40,5.7,3.3E-03,9.1E-03,1,0.03
COLGALT1,0.82,5.9,7.5E-16,1.1E-13,1,0.27
COLGALT2,0.02,6.6,8.3E-01,8.8E-01,1,0.00
COLQ,-0.12,2.4,5.0E-01,6.0E-01,0,0.00
COMMD1,-0.27,4.2,1.2E-02,2.8E-02,0,0.01
COMMD10,0.04,3.6,6.4E-01,7.3E-01,1,0.00
COMMD2,-0.09,4.5,4.4E-01,5.4E-01,0,0.00
COMMD3,-0.03,3.8,8.2E-01,8.7E-01,0,0.00
COMMD4,-0.38,5.0,2.3E-03,6.7E-03,0,0.03
COMMD5,0.05,4.6,6.3E-01,7.1E-01,1,0.00
COMMD6,0.25,5.7,1.7E-02,3.7E-02,1,0.01
COMMD7,0.00,5.8,9.8E-01,9.9E-01,0,0.00
COMMD8,-0.03,3.3,8.8E-01,9.2E-01,0,0.00
COMMD9,-0.25,5.5,1.8E-02,3.9E-02,0,0.01
COMP,2.80,1.3,2.8E-02,5.7E-02,1,0.12
COMT,0.01,7.4,9.1E-01,9.4E-01,1,0.00
COMTD1,0.33,1.8,9.0E-02,1.5E-01,1,0.01
COPA,0.01,7.8,8.8E-01,9.2E-01,1,0.00
COPB1,0.05,6.2,5.2E-01,6.2E-01,1,0.00
COPB2,0.08,6.8,2.7E-01,3.7E-01,1,0.00
COPE,-0.35,6.9,9.0E-04,2.9E-03,0,0.03
COPG1,-0.57,6.7,3.1E-14,2.2E-12,0,0.19
COPG2,-0.64,3.6,3.9E-08,4.1E-07,0,0.14
COPRS,-0.16,6.2,1.0E-01,1.7E-01,0,0.00
COPS2,0.14,5.9,1.8E-01,2.6E-01,1,0.00
COPS3,-0.33,5.7,2.3E-05,1.2E-04,0,0.04
COPS4,-0.62,5.3,5.1E-09,6.9E-08,0,0.15
COPS5,-0.23,6.1,3.5E-03,9.4E-03,0,0.02
COPS6,-0.25,6.7,2.4E-03,6.9E-03,0,0.02
COPS7A,-0.67,6.6,6.5E-16,9.9E-14,0,0.22
COPS7B,-0.11,5.6,1.4E-01,2.1E-01,0,0.00
COPS8,-0.43,6.2,3.7E-05,1.8E-04,0,0.05
COPZ1,-0.25,6.6,2.9E-04,1.1E-03,0,0.02
COPZ2,0.50,4.0,2.8E-03,7.9E-03,1,0.03
COQ10A,-0.15,3.9,2.2E-01,3.1E-01,0,0.00
COQ10B,-0.31,4.6,2.4E-03,6.9E-03,0,0.02
COQ2,-0.22,2.4,1.1E-01,1.7E-01,0,0.01
COQ3,-0.70,3.1,7.9E-06,4.7E-05,0,0.10
COQ4,-0.36,4.9,2.2E-03,6.4E-03,0,0.03
COQ5,0.08,4.8,4.5E-01,5.5E-01,1,0.00
COQ6,-0.55,2.8,9.5E-04,3.1E-03,0,0.05
COQ7,0.07,4.3,4.9E-01,5.9E-01,1,0.00
COQ9,-0.33,5.4,9.1E-04,3.0E-03,0,0.03
CORO1A,-0.56,6.2,2.5E-03,7.1E-03,0,0.04
CORO1B,0.30,6.0,2.9E-03,8.0E-03,1,0.02
CORO1C,0.23,7.2,1.9E-02,4.1E-02,1,0.01
CORO2A,-1.08,2.4,1.5E-06,1.1E-05,0,0.18
CORO2B,-0.48,7.3,3.0E-05,1.5E-04,0,0.06
CORO6,-0.30,3.5,1.1E-01,1.8E-01,0,0.01
CORO7,-0.13,4.6,4.5E-01,5.5E-01,0,0.00
CORT,-1.40,0.6,2.3E-08,2.6E-07,0,0.31
COTL1,-0.17,7.2,1.4E-01,2.2E-01,0,0.00
COX10,-0.38,3.3,1.7E-03,5.0E-03,0,0.03
COX11,-0.11,5.0,1.8E-01,2.7E-01,0,0.00
COX14,-0.25,5.4,7.4E-03,1.8E-02,0,0.01
COX15,-0.32,5.0,3.2E-05,1.6E-04,0,0.04
COX16,-0.27,4.6,2.0E-02,4.3E-02,0,0.01
COX17,0.03,5.2,7.4E-01,8.1E-01,1,0.00
COX18,-0.44,3.4,1.0E-04,4.5E-04,0,0.05
COX19,-0.25,3.6,3.6E-02,6.9E-02,0,0.01
COX20,-0.09,3.3,5.5E-01,6.4E-01,0,0.00
COX4I1,-0.38,8.8,5.9E-04,2.0E-03,0,0.03
COX4I2,0.22,1.7,5.6E-01,6.6E-01,1,0.00
COX5A,-0.51,6.2,1.6E-07,1.5E-06,0,0.10
COX5B,-0.30,7.2,5.1E-03,1.3E-02,0,0.02
COX6A1,-0.28,7.9,1.1E-02,2.5E-02,0,0.01
COX6A1P2,-0.07,2.7,6.8E-01,7.6E-01,0,0.00
COX6B1,-0.53,7.2,1.8E-06,1.3E-05,0,0.09
COX6C,-0.69,7.2,2.3E-14,1.7E-12,0,0.23
COX7A1,0.18,5.1,3.4E-01,4.4E-01,1,0.00
COX7A2,-0.37,7.2,2.7E-04,1.0E-03,0,0.04
COX7A2L,-0.42,6.6,4.0E-05,2.0E-04,0,0.05
COX7C,-0.21,8.2,1.8E-02,3.8E-02,0,0.01
COX8A,-0.25,6.5,6.8E-03,1.7E-02,0,0.01
CP,1.30,6.9,1.7E-10,3.6E-09,1,0.37
CPAMD8,0.78,5.4,4.0E-03,1.1E-02,1,0.05
CPB1,-0.54,-0.3,2.3E-01,3.2E-01,0,0.01
CPD,0.17,6.8,9.6E-02,1.6E-01,1,0.00
CPE,-0.51,10.5,1.8E-04,7.2E-04,0,0.05
CPEB1,-0.25,3.8,9.2E-02,1.5E-01,0,0.01
CPEB2,0.24,5.8,2.7E-02,5.5E-02,1,0.01
CPEB3,-0.76,4.7,2.0E-08,2.3E-07,0,0.17
CPEB4,0.10,6.4,3.4E-01,4.4E-01,1,0.00
CPED1,1.20,3.8,1.7E-03,5.1E-03,1,0.09
CPLX1,-1.50,5.9,2.1E-14,1.6E-12,0,0.50
CPLX2,-1.54,9.7,8.9E-13,3.8E-11,0,0.51
CPM,0.73,6.0,5.4E-05,2.6E-04,1,0.09
CPNE1,0.35,5.9,2.7E-03,7.6E-03,1,0.03
CPNE2,0.01,6.8,9.5E-01,9.7E-01,1,0.00
CPNE3,0.19,6.2,9.4E-02,1.6E-01,1,0.01
CPNE4,-2.00,5.2,2.4E-08,2.8E-07,0,0.44
CPNE5,-1.38,4.8,2.5E-09,3.7E-08,0,0.34
CPNE6,-1.48,7.1,9.9E-18,3.2E-15,0,0.49
CPNE7,-1.22,3.7,2.1E-08,2.4E-07,0,0.27
CPNE8,0.34,4.5,5.1E-03,1.3E-02,1,0.02
CPNE9,-1.64,1.8,8.7E-08,8.5E-07,0,0.33
CPOX,0.43,5.5,1.5E-03,4.5E-03,1,0.03
CPPED1,0.12,4.9,3.2E-01,4.2E-01,1,0.00
CPQ,0.78,6.1,3.1E-09,4.5E-08,1,0.19
CPS1,-0.22,3.4,2.4E-01,3.4E-01,0,0.00
CPSF1,0.32,6.0,2.5E-03,7.0E-03,1,0.02
CPSF2,0.14,5.6,1.0E-01,1.7E-01,1,0.00
CPSF3,-0.25,4.4,1.3E-03,4.0E-03,0,0.02
CPSF3L,0.06,6.5,5.8E-01,6.7E-01,1,0.00
CPSF4,0.14,5.2,1.9E-01,2.8E-01,1,0.00
CPSF6,0.24,5.7,3.9E-02,7.5E-02,1,0.01
CPSF7,0.13,6.7,5.0E-02,9.2E-02,1,0.00
CPT1A,0.32,6.5,5.1E-02,9.3E-02,1,0.01
CPT1B,1.31,0.5,6.8E-06,4.1E-05,1,0.19
CPT1C,-0.94,5.6,5.4E-12,1.8E-10,0,0.31
CPT2,-0.39,4.2,5.7E-03,1.4E-02,0,0.02
CPVL,0.74,4.3,1.2E-04,4.9E-04,1,0.08
CPXM1,-0.44,0.2,2.9E-01,3.9E-01,0,0.01
CPXM2,1.00,3.6,2.0E-04,7.9E-04,1,0.10
CR1,0.53,1.5,8.6E-02,1.5E-01,1,0.01
CRABP1,0.38,1.7,3.1E-01,4.1E-01,1,0.00
CRABP2,-0.41,1.8,9.6E-02,1.6E-01,0,0.01
CRADD,-0.15,3.6,1.3E-01,2.1E-01,0,0.00
CRAMP1L,0.12,4.3,1.9E-01,2.8E-01,1,0.00
CRAT,-0.40,6.1,2.1E-04,8.2E-04,0,0.04
CRB1,-0.10,4.5,4.7E-01,5.7E-01,0,0.00
CRB2,0.24,6.3,8.6E-02,1.4E-01,1,0.01
CRBN,-0.04,5.9,6.8E-01,7.6E-01,0,0.00
CRCP,-0.14,5.3,6.6E-02,1.2E-01,0,0.00
CREB1,0.34,5.4,1.1E-03,3.6E-03,1,0.03
CREB3,0.16,6.4,5.1E-02,9.4E-02,1,0.01
CREB3L1,-0.90,3.0,2.7E-06,1.8E-05,0,0.14
CREB3L2,0.33,5.8,1.3E-02,3.0E-02,1,0.02
CREB3L4,0.20,2.4,2.5E-01,3.5E-01,1,0.00
CREB5,0.04,5.8,8.1E-01,8.6E-01,1,0.00
CREBBP,0.62,7.1,5.1E-08,5.3E-07,1,0.13
CREBL2,0.18,6.5,3.2E-02,6.3E-02,1,0.01
CREBRF,0.65,5.5,8.5E-10,1.4E-08,1,0.17
CREBZF,0.40,5.1,2.8E-06,1.9E-05,1,0.06
CREG1,-0.04,6.0,6.6E-01,7.4E-01,0,0.00
CREG2,-1.78,6.3,1.2E-13,6.9E-12,0,0.59
CRELD1,-0.14,6.2,3.8E-01,4.8E-01,0,0.00
CRELD2,-0.33,4.8,1.4E-02,3.1E-02,0,0.02
CREM,0.43,5.2,1.2E-05,6.9E-05,1,0.06
CRH,-2.61,0.2,4.5E-10,8.1E-09,0,0.70
CRHBP,-0.35,3.5,1.2E-01,1.9E-01,0,0.01
CRHR1,-0.57,3.1,1.8E-02,3.9E-02,0,0.03
CRHR2,-0.96,0.2,3.3E-03,9.1E-03,0,0.07
CRIM1,0.29,7.2,1.1E-01,1.8E-01,1,0.01
CRIP1,1.11,4.5,8.0E-04,2.7E-03,1,0.09
CRIP2,0.26,7.7,3.9E-02,7.4E-02,1,0.01
CRIP3,0.15,1.2,6.1E-01,6.9E-01,1,0.00
CRIPAK,0.55,2.9,2.4E-02,5.1E-02,1,0.02
CRIPT,0.11,4.9,3.1E-01,4.1E-01,1,0.00
CRISPLD1,0.42,4.1,3.7E-02,7.1E-02,1,0.02
CRISPLD2,-0.14,4.7,6.1E-01,7.0E-01,0,0.00
CRK,0.29,6.8,1.9E-04,7.5E-04,1,0.03
CRKL,0.07,7.3,3.6E-01,4.6E-01,1,0.00
CRLF1,0.64,4.9,1.6E-02,3.6E-02,1,0.03
CRLF3,0.49,3.6,1.9E-05,1.0E-04,1,0.07
CRLS1,-0.18,4.8,4.2E-02,7.9E-02,0,0.01
CRMP1,-1.15,6.9,1.3E-24,2.2E-20,0,0.38
CRNKL1,-0.07,4.8,4.7E-01,5.7E-01,0,0.00
CROCC,0.43,5.0,4.9E-03,1.3E-02,1,0.03
CROT,-0.20,3.4,4.6E-02,8.5E-02,0,0.01
CRTAC1,-0.12,4.6,4.8E-01,5.8E-01,0,0.00
CRTAP,0.78,8.3,7.3E-11,1.7E-09,1,0.23
CRTC1,-0.87,6.8,2.4E-14,1.8E-12,0,0.29
CRTC2,0.53,5.8,8.8E-09,1.1E-07,1,0.12
CRTC3,0.43,6.5,1.9E-04,7.7E-04,1,0.04
CRY1,0.53,4.9,1.4E-06,9.9E-06,1,0.09
CRY2,-0.89,6.5,3.7E-20,3.8E-17,0,0.30
CRYAA,-0.08,-0.5,7.8E-01,8.4E-01,0,0.00
CRYAB,0.55,10.9,1.7E-02,3.7E-02,1,0.03
CRYBB1,-1.22,0.5,1.0E-04,4.5E-04,0,0.14
CRYBB2,-0.05,-0.5,8.8E-01,9.2E-01,0,0.00
CRYBG3,0.62,4.9,8.3E-05,3.7E-04,1,0.07
CRYGD,-0.90,-0.3,2.0E-02,4.3E-02,0,0.04
CRYGS,0.63,1.3,6.0E-03,1.5E-02,1,0.04
CRYL1,-0.05,6.8,7.4E-01,8.1E-01,0,0.00
CRYM,-2.31,5.7,8.3E-14,5.1E-12,0,0.77
CRYZ,0.11,4.6,5.5E-01,6.5E-01,1,0.00
CRYZL1,0.01,5.1,9.1E-01,9.4E-01,1,0.00
CS,-0.42,6.8,1.8E-07,1.6E-06,0,0.08
CSAD,0.28,4.2,2.4E-02,5.0E-02,1,0.01
CSDC2,-0.60,5.7,7.7E-04,2.6E-03,0,0.05
CSDE1,0.45,9.2,3.8E-06,2.4E-05,1,0.07
CSE1L,-0.14,6.3,1.2E-01,1.9E-01,0,0.00
CSF1,0.91,6.7,5.3E-16,8.5E-14,1,0.30
CSF1R,0.02,7.2,9.4E-01,9.6E-01,1,0.00
CSF2RB,0.28,2.5,2.6E-01,3.6E-01,1,0.00
CSF3,-0.83,1.5,2.9E-01,3.9E-01,0,0.01
CSF3R,0.41,4.9,6.7E-03,1.7E-02,1,0.02
CSGALNACT1,-0.01,5.8,9.3E-01,9.5E-01,0,0.00
CSGALNACT2,0.48,4.6,1.8E-06,1.3E-05,1,0.08
CSK,0.16,5.8,5.8E-02,1.0E-01,1,0.01
CSMD1,-1.01,3.9,1.8E-09,2.8E-08,0,0.25
CSMD2,-0.56,3.9,1.1E-04,4.7E-04,0,0.06
CSMD3,-0.59,3.7,7.5E-05,3.4E-04,0,0.07
CSNK1A1,-0.06,6.1,4.5E-01,5.5E-01,0,0.00
CSNK1D,-0.26,7.2,1.9E-04,7.5E-04,0,0.03
CSNK1E,-0.02,7.4,8.3E-01,8.8E-01,0,0.00
CSNK1G1,-0.10,3.7,4.1E-01,5.1E-01,0,0.00
CSNK1G2,-0.08,6.2,4.6E-01,5.6E-01,0,0.00
CSNK1G3,-0.13,4.4,1.6E-01,2.4E-01,0,0.00
CSNK2A1,-0.23,6.4,1.9E-03,5.7E-03,0,0.02
CSNK2A2,0.02,5.9,8.0E-01,8.5E-01,1,0.00
CSNK2B,-0.11,5.2,2.3E-01,3.3E-01,0,0.00
CSPG4,0.51,7.1,1.5E-02,3.3E-02,1,0.03
CSPG5,-1.04,6.6,4.6E-09,6.4E-08,0,0.25
CSPP1,0.63,4.1,1.2E-09,1.9E-08,1,0.16
CSRNP1,0.81,5.5,1.9E-06,1.3E-05,1,0.13
CSRNP2,0.01,5.8,8.9E-01,9.2E-01,1,0.00
CSRNP3,-1.11,4.9,7.2E-10,1.2E-08,0,0.29
CSRP1,0.38,10.5,2.2E-03,6.3E-03,1,0.03
CSRP2,0.76,5.4,1.4E-04,5.7E-04,1,0.08
CSRP2BP,-0.24,5.0,4.6E-03,1.2E-02,0,0.02
CST3,-0.42,10.3,4.3E-03,1.1E-02,0,0.03
CST7,1.18,1.1,6.7E-03,1.7E-02,1,0.07
CSTA,0.65,0.1,7.0E-02,1.2E-01,1,0.02
CSTB,0.03,6.6,8.1E-01,8.7E-01,1,0.00
CSTF1,-0.12,4.0,1.2E-01,2.0E-01,0,0.00
CSTF2T,-0.15,5.7,1.6E-01,2.4E-01,0,0.00
