ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000105825,True,Temporal Lobe,Cho_et_al
ENSG00000270071,True,Temporal Lobe,Cho_et_al
ENSG00000129654,True,Temporal Lobe,Cho_et_al
ENSG00000137757,True,Temporal Lobe,Cho_et_al
ENSG00000254575,True,Temporal Lobe,Cho_et_al
ENSG00000234453,True,Temporal Lobe,Cho_et_al
ENSG00000272377,True,Temporal Lobe,Cho_et_al
ENSG00000237424,True,Temporal Lobe,Cho_et_al
ENSG00000117228,True,Temporal Lobe,Cho_et_al
ENSG00000241644,True,Temporal Lobe,Cho_et_al
ENSG00000244292,True,Temporal Lobe,Cho_et_al
ENSG00000272060,True,Temporal Lobe,Cho_et_al
ENSG00000205081,True,Temporal Lobe,Cho_et_al
ENSG00000118271,True,Temporal Lobe,Cho_et_al
ENSG00000259219,True,Temporal Lobe,Cho_et_al
ENSG00000232104,True,Temporal Lobe,Cho_et_al
ENSG00000238185,True,Temporal Lobe,Cho_et_al
ENSG00000205500,True,Temporal Lobe,Cho_et_al
ENSG00000268179,True,Temporal Lobe,Cho_et_al
ENSG00000187474,True,Temporal Lobe,Cho_et_al
ENSG00000249911,True,Temporal Lobe,Cho_et_al
ENSG00000263429,True,Temporal Lobe,Cho_et_al
ENSG00000189014,True,Temporal Lobe,Cho_et_al
ENSG00000162692,True,Temporal Lobe,Cho_et_al
ENSG00000210194,True,Temporal Lobe,Cho_et_al
ENSG00000169508,True,Temporal Lobe,Cho_et_al
ENSG00000004809,True,Temporal Lobe,Cho_et_al
ENSG00000164707,True,Temporal Lobe,Cho_et_al
ENSG00000173641,True,Temporal Lobe,Cho_et_al
ENSG00000211893,True,Temporal Lobe,Cho_et_al
ENSG00000260940,True,Temporal Lobe,Cho_et_al
ENSG00000257097,True,Temporal Lobe,Cho_et_al
ENSG00000269356,True,Temporal Lobe,Cho_et_al
ENSG00000269296,True,Temporal Lobe,Cho_et_al
ENSG00000134531,True,Temporal Lobe,Cho_et_al
ENSG00000007350,True,Temporal Lobe,Cho_et_al
ENSG00000129810,True,Temporal Lobe,Cho_et_al
ENSG00000197646,True,Temporal Lobe,Cho_et_al
ENSG00000225704,True,Temporal Lobe,Cho_et_al
ENSG00000176635,True,Temporal Lobe,Cho_et_al
ENSG00000177575,True,Temporal Lobe,Cho_et_al
ENSG00000216490,True,Temporal Lobe,Cho_et_al
ENSG00000105967,True,Temporal Lobe,Cho_et_al
ENSG00000135046,True,Temporal Lobe,Cho_et_al
ENSG00000115474,True,Temporal Lobe,Cho_et_al
ENSG00000112936,True,Temporal Lobe,Cho_et_al
ENSG00000231738,True,Temporal Lobe,Cho_et_al
ENSG00000269900,True,Temporal Lobe,Cho_et_al
ENSG00000230148,True,Temporal Lobe,Cho_et_al
ENSG00000140379,True,Temporal Lobe,Cho_et_al
ENSG00000231964,True,Temporal Lobe,Cho_et_al
ENSG00000261276,True,Temporal Lobe,Cho_et_al
ENSG00000227815,True,Temporal Lobe,Cho_et_al
ENSG00000247151,True,Temporal Lobe,Cho_et_al
ENSG00000259869,True,Temporal Lobe,Cho_et_al
ENSG00000175664,True,Temporal Lobe,Cho_et_al
ENSG00000162947,True,Temporal Lobe,Cho_et_al
ENSG00000176601,True,Temporal Lobe,Cho_et_al
ENSG00000150681,True,Temporal Lobe,Cho_et_al
ENSG00000160791,True,Temporal Lobe,Cho_et_al
ENSG00000164746,True,Temporal Lobe,Cho_et_al
ENSG00000159625,True,Temporal Lobe,Cho_et_al
ENSG00000117226,True,Temporal Lobe,Cho_et_al
ENSG00000156218,True,Temporal Lobe,Cho_et_al
ENSG00000261732,True,Temporal Lobe,Cho_et_al
ENSG00000231551,True,Temporal Lobe,Cho_et_al
ENSG00000249599,True,Temporal Lobe,Cho_et_al
ENSG00000174776,True,Temporal Lobe,Cho_et_al
ENSG00000233038,True,Temporal Lobe,Cho_et_al
ENSG00000132185,True,Temporal Lobe,Cho_et_al
ENSG00000249669,True,Temporal Lobe,Cho_et_al
ENSG00000142973,True,Temporal Lobe,Cho_et_al
ENSG00000235613,True,Temporal Lobe,Cho_et_al
ENSG00000149201,True,Temporal Lobe,Cho_et_al
ENSG00000241202,True,Temporal Lobe,Cho_et_al
ENSG00000164949,True,Temporal Lobe,Cho_et_al
ENSG00000250116,True,Temporal Lobe,Cho_et_al
ENSG00000050327,True,Temporal Lobe,Cho_et_al
ENSG00000170561,True,Temporal Lobe,Cho_et_al
ENSG00000250989,True,Temporal Lobe,Cho_et_al
ENSG00000233670,True,Temporal Lobe,Cho_et_al
ENSG00000171812,True,Temporal Lobe,Cho_et_al
ENSG00000197565,True,Temporal Lobe,Cho_et_al
ENSG00000182885,True,Temporal Lobe,Cho_et_al
ENSG00000142871,True,Temporal Lobe,Cho_et_al
ENSG00000228113,True,Temporal Lobe,Cho_et_al
ENSG00000231768,True,Temporal Lobe,Cho_et_al
ENSG00000152936,True,Temporal Lobe,Cho_et_al
ENSG00000137691,True,Temporal Lobe,Cho_et_al
ENSG00000177688,True,Temporal Lobe,Cho_et_al
ENSG00000204287,True,Temporal Lobe,Cho_et_al
ENSG00000138083,True,Temporal Lobe,Cho_et_al
ENSG00000198695,True,Temporal Lobe,Cho_et_al
ENSG00000262623,True,Temporal Lobe,Cho_et_al
ENSG00000061455,True,Temporal Lobe,Cho_et_al
ENSG00000253379,True,Temporal Lobe,Cho_et_al
ENSG00000253816,True,Temporal Lobe,Cho_et_al
ENSG00000269481,True,Temporal Lobe,Cho_et_al
ENSG00000187990,True,Temporal Lobe,Cho_et_al
