ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000180008,True,Frontal Lobe,Fisher_et_al
ENSG00000185278,True,Frontal Lobe,Fisher_et_al
ENSG00000156273,True,Frontal Lobe,Fisher_et_al
ENSG00000152558,True,Frontal Lobe,Fisher_et_al
ENSG00000070018,True,Frontal Lobe,Fisher_et_al
ENSG00000048028,True,Frontal Lobe,Fisher_et_al
ENSG00000123080,True,Frontal Lobe,Fisher_et_al
ENSG00000091436,True,Frontal Lobe,Fisher_et_al
ENSG00000140455,True,Frontal Lobe,Fisher_et_al
ENSG00000184486,True,Frontal Lobe,Fisher_et_al
ENSG00000161791,True,Frontal Lobe,Fisher_et_al
ENSG00000196586,True,Frontal Lobe,Fisher_et_al
ENSG00000107554,True,Frontal Lobe,Fisher_et_al
ENSG00000139132,True,Frontal Lobe,Fisher_et_al
ENSG00000115318,True,Frontal Lobe,Fisher_et_al
ENSG00000146263,True,Frontal Lobe,Fisher_et_al
ENSG00000149639,True,Frontal Lobe,Fisher_et_al
ENSG00000168461,True,Frontal Lobe,Fisher_et_al
ENSG00000058866,True,Frontal Lobe,Fisher_et_al
ENSG00000174032,True,Frontal Lobe,Fisher_et_al
ENSG00000083067,True,Frontal Lobe,Fisher_et_al
ENSG00000092531,True,Frontal Lobe,Fisher_et_al
ENSG00000163820,True,Frontal Lobe,Fisher_et_al
ENSG00000170759,True,Frontal Lobe,Fisher_et_al
ENSG00000030066,True,Frontal Lobe,Fisher_et_al
ENSG00000082781,True,Frontal Lobe,Fisher_et_al
ENSG00000165288,True,Frontal Lobe,Fisher_et_al
ENSG00000263002,True,Frontal Lobe,Fisher_et_al
ENSG00000273274,True,Frontal Lobe,Fisher_et_al
ENSG00000175215,True,Frontal Lobe,Fisher_et_al
ENSG00000134352,True,Frontal Lobe,Fisher_et_al
ENSG00000169105,True,Frontal Lobe,Fisher_et_al
ENSG00000162433,True,Frontal Lobe,Fisher_et_al
ENSG00000107779,True,Frontal Lobe,Fisher_et_al
ENSG00000123191,True,Frontal Lobe,Fisher_et_al
ENSG00000148411,True,Frontal Lobe,Fisher_et_al
ENSG00000116044,True,Frontal Lobe,Fisher_et_al
ENSG00000080839,True,Frontal Lobe,Fisher_et_al
ENSG00000138756,True,Frontal Lobe,Fisher_et_al
ENSG00000105854,True,Frontal Lobe,Fisher_et_al
ENSG00000164938,True,Frontal Lobe,Fisher_et_al
ENSG00000133138,True,Frontal Lobe,Fisher_et_al
ENSG00000165458,True,Frontal Lobe,Fisher_et_al
ENSG00000128585,True,Frontal Lobe,Fisher_et_al
ENSG00000065243,True,Frontal Lobe,Fisher_et_al
ENSG00000140262,True,Frontal Lobe,Fisher_et_al
ENSG00000114166,True,Frontal Lobe,Fisher_et_al
ENSG00000133065,True,Frontal Lobe,Fisher_et_al
ENSG00000102547,True,Frontal Lobe,Fisher_et_al
ENSG00000104219,True,Frontal Lobe,Fisher_et_al
ENSG00000151208,True,Frontal Lobe,Fisher_et_al
ENSG00000106799,True,Frontal Lobe,Fisher_et_al
ENSG00000100852,True,Frontal Lobe,Fisher_et_al
ENSG00000139350,True,Frontal Lobe,Fisher_et_al
ENSG00000180801,True,Frontal Lobe,Fisher_et_al
ENSG00000081818,True,Frontal Lobe,Fisher_et_al
ENSG00000143970,True,Frontal Lobe,Fisher_et_al
ENSG00000144847,True,Frontal Lobe,Fisher_et_al
ENSG00000143384,True,Frontal Lobe,Fisher_et_al
ENSG00000100393,True,Frontal Lobe,Fisher_et_al
ENSG00000144445,True,Frontal Lobe,Fisher_et_al
ENSG00000055208,True,Frontal Lobe,Fisher_et_al
ENSG00000179604,True,Frontal Lobe,Fisher_et_al
ENSG00000183864,True,Frontal Lobe,Fisher_et_al
ENSG00000003402,True,Frontal Lobe,Fisher_et_al
ENSG00000198087,True,Frontal Lobe,Fisher_et_al
ENSG00000166801,True,Frontal Lobe,Fisher_et_al
ENSG00000147027,True,Frontal Lobe,Fisher_et_al
ENSG00000079691,True,Frontal Lobe,Fisher_et_al
