gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
DGKZ,ENSG00000149091,DGKZ,False,Temporal Lobe,Felsky_et_al,1.7
ZNF99,ENSG00000213973,ZNF99,False,Temporal Lobe,Felsky_et_al,1.7
C17orf49,ENSG00000258315,C17orf49,False,Temporal Lobe,Felsky_et_al,1.7
SPHK2,ENSG00000063176,SPHK2,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000232682,ENSG00000232682,,False,Temporal Lobe,Felsky_et_al,1.7
MVK,ENSG00000110921,MVK,False,Temporal Lobe,Felsky_et_al,1.7
AGAP2,ENSG00000135439,AGAP2,False,Temporal Lobe,Felsky_et_al,1.7
GCC2,ENSG00000135968,GCC2,False,Temporal Lobe,Felsky_et_al,1.7
CEBPZOS,ENSG00000218739,CEBPZOS,False,Temporal Lobe,Felsky_et_al,1.7
PSMB3,ENSG00000275903,PSMB3,False,Temporal Lobe,Felsky_et_al,1.7
TBC1D30,ENSG00000111490,TBC1D30,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000260664,ENSG00000260664,,False,Temporal Lobe,Felsky_et_al,1.7
MAN1B1-DT,ENSG00000268996,MAN1B1-DT,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000279519,ENSG00000279519,,False,Temporal Lobe,Felsky_et_al,1.7
DLGAP2,ENSG00000282152,DLGAP2,False,Temporal Lobe,Felsky_et_al,1.7
H4C1,ENSG00000278637,H4C1,False,Temporal Lobe,Felsky_et_al,1.7
ZNF839,ENSG00000022976,ZNF839,False,Temporal Lobe,Felsky_et_al,1.7
ZNF195,ENSG00000005801,ZNF195,False,Temporal Lobe,Felsky_et_al,1.7
ROGDI,ENSG00000067836,ROGDI,False,Temporal Lobe,Felsky_et_al,1.7
PKM,ENSG00000067225,PKM,False,Temporal Lobe,Felsky_et_al,1.7
LRRC73,ENSG00000204052,LRRC73,False,Temporal Lobe,Felsky_et_al,1.7
ZNG1F,ENSG00000215126,ZNG1F,False,Temporal Lobe,Felsky_et_al,1.7
CIBAR1,ENSG00000188343,CIBAR1,False,Temporal Lobe,Felsky_et_al,1.7
ANKRD30BL,ENSG00000163046,ANKRD30BL,False,Temporal Lobe,Felsky_et_al,1.7
CTXN1,ENSG00000178531,CTXN1,False,Temporal Lobe,Felsky_et_al,1.7
IQCJ-SCHIP1,ENSG00000283154,IQCJ-SCHIP1,False,Temporal Lobe,Felsky_et_al,1.7
UNC80,ENSG00000144406,UNC80,False,Temporal Lobe,Felsky_et_al,1.7
FMNL1-DT,ENSG00000267121,FMNL1-DT,False,Temporal Lobe,Felsky_et_al,1.7
DUSP6,ENSG00000139318,DUSP6,False,Temporal Lobe,Felsky_et_al,1.7
MPHOSPH6,ENSG00000135698,MPHOSPH6,False,Temporal Lobe,Felsky_et_al,1.7
COX3,ENSG00000198938,COX3,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000280128,ENSG00000280128,,False,Temporal Lobe,Felsky_et_al,1.7
EIF3K,ENSG00000282986,EIF3K,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000259326,ENSG00000259326,,False,Temporal Lobe,Felsky_et_al,1.7
MCM4,ENSG00000104738,MCM4,False,Temporal Lobe,Felsky_et_al,1.7
GABRG3,ENSG00000182256,GABRG3,False,Temporal Lobe,Felsky_et_al,1.7
CPB2-AS1,ENSG00000235903,CPB2-AS1,False,Temporal Lobe,Felsky_et_al,1.7
TMEM160,ENSG00000130748,TMEM160,False,Temporal Lobe,Felsky_et_al,1.7
COX6B1,ENSG00000126267,COX6B1,False,Temporal Lobe,Felsky_et_al,1.7
MAP4K3-DT,ENSG00000231312,MAP4K3-DT,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000279356,ENSG00000279356,,False,Temporal Lobe,Felsky_et_al,1.7
DUX4L50,ENSG00000232815,DUX4L50,False,Temporal Lobe,Felsky_et_al,1.7
SHANK2,ENSG00000162105,SHANK2,False,Temporal Lobe,Felsky_et_al,1.7
YPEL4,ENSG00000166793,YPEL4,False,Temporal Lobe,Felsky_et_al,1.7
MYEF2,ENSG00000104177,MYEF2,False,Temporal Lobe,Felsky_et_al,1.7
XPA,ENSG00000136936,XPA,False,Temporal Lobe,Felsky_et_al,1.7
MYG1,ENSG00000139637,MYG1,False,Temporal Lobe,Felsky_et_al,1.7
ZNF454,ENSG00000178187,ZNF454,False,Temporal Lobe,Felsky_et_al,1.7
C16orf95,ENSG00000260456,C16orf95,False,Temporal Lobe,Felsky_et_al,1.7
ICA1,ENSG00000003147,ICA1,False,Temporal Lobe,Felsky_et_al,1.7
CIDECP1,ENSG00000186162,CIDECP1,False,Temporal Lobe,Felsky_et_al,1.7
ANKRD24,ENSG00000089847,ANKRD24,False,Temporal Lobe,Felsky_et_al,1.7
MAGED1,ENSG00000179222,MAGED1,False,Temporal Lobe,Felsky_et_al,1.7
MTX1,ENSG00000173171,MTX1,False,Temporal Lobe,Felsky_et_al,1.7
CENPE,ENSG00000138778,CENPE,False,Temporal Lobe,Felsky_et_al,1.7
PNKD,ENSG00000127838,PNKD,False,Temporal Lobe,Felsky_et_al,1.7
SKOR1,ENSG00000188779,SKOR1,False,Temporal Lobe,Felsky_et_al,1.7
BMP2KL,ENSG00000204113,BMP2KL,False,Temporal Lobe,Felsky_et_al,1.7
OTUB1,ENSG00000167770,OTUB1,False,Temporal Lobe,Felsky_et_al,1.7
HECW1,ENSG00000002746,HECW1,False,Temporal Lobe,Felsky_et_al,1.7
DYNC2I1,ENSG00000126870,DYNC2I1,False,Temporal Lobe,Felsky_et_al,1.7
KIF26B,ENSG00000281216,KIF26B,False,Temporal Lobe,Felsky_et_al,1.7
RAPGEFL1,ENSG00000108352,RAPGEFL1,False,Temporal Lobe,Felsky_et_al,1.7
SLC22A9,ENSG00000149742,SLC22A9,False,Temporal Lobe,Felsky_et_al,1.7
RB1CC1,ENSG00000023287,RB1CC1,False,Temporal Lobe,Felsky_et_al,1.7
HCG18,ENSG00000224619,HCG18,False,Temporal Lobe,Felsky_et_al,1.7
PROX1-AS1,ENSG00000230461,PROX1-AS1,False,Temporal Lobe,Felsky_et_al,1.7
VIPR2,ENSG00000106018,VIPR2,False,Temporal Lobe,Felsky_et_al,1.7
