MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
ADGRF5|ENSG00000069122	ad	control	173.00	-3.146	0.001656	------+?
ROR1|ENSG00000185483	ad	control	173.00	-0.307	0.759	-++-+-+?
FRG1EP|ENSG00000282995	ad	control	62.00	0.745	0.4565	?????++?
FAM222B|ENSG00000173065	ad	control	279.00	-2.201	0.02776	--------
ATP8A2P3|ENSG00000233963	ad	control	62.00	0.359	0.7195	?????++?
RRAGC|ENSG00000116954	ad	control	173.00	-2.262	0.02372	------+?
DMKN|ENSG00000161249	ad	control	279.00	1.706	0.088	+++++--+
NUDT6|ENSG00000170917	ad	control	279.00	0.404	0.6866	+++++---
DNAJA1P6|ENSG00000228045	ad	control	31.00	0.103	0.9178	??????+?
LOC105371855|ENSG00000265702	ad	control	62.00	1.969	0.04899	?????++?
KAT8|ENSG00000103510	ad	control	279.00	-0.722	0.4702	-+--+--+
POMGNT2|ENSG00000144647	ad	control	279.00	-2.634	0.008434	+++-----
PRP4K|ENSG00000112739	ad	control	279.00	-1.922	0.05465	-----+++
JSRP1|ENSG00000167476	ad	control	62.00	-1.187	0.2354	?????-+?
FOXN3|ENSG00000053254	ad	control	173.00	-2.633	0.008473	-----++?
NTN5|ENSG00000142233	ad	control	134.00	-1.252	0.2106	----?--?
TRIM62|ENSG00000116525	ad	control	279.00	-2.616	0.008885	----+-+-
GPS2P1|ENSG00000236496	ad	control	62.00	2.853	0.004329	?????++?
MSR1|ENSG00000038945	ad	control	279.00	-3.722	0.0001979	+------+
MIA2-AS1|ENSG00000258940	ad	control	62.00	-2.590	0.009592	?????--?
TUBBP10|ENSG00000226147	ad	control	31.00	0.008	0.9939	??????+?
NPY2R|ENSG00000185149	ad	control	173.00	0.122	0.9025	+++-+--?
FEM1A|ENSG00000141965	ad	control	173.00	-2.125	0.03358	-----++?
MIR27B|ENSG00000207864	ad	control	31.00	-0.789	0.43	??????-?
NCF4-AS1|ENSG00000183822	ad	control	106.00	-0.126	0.9	???????-
LINC02822|ENSG00000286021	ad	control	62.00	-0.398	0.6908	?????+-?
RPL36AP15|ENSG00000235369	ad	control	137.00	-0.361	0.7179	??????+-
SUGT1P4-STRA6LP-CCDC180|ENSG00000255036	ad	control	207.00	-0.222	0.8241	????+--+
RPL12P41|ENSG00000269637	ad	control	62.00	-0.284	0.7762	?????--?
KIF5C|ENSG00000168280	ad	control	173.00	3.709	0.0002081	-++++++?
CRYL1|ENSG00000165475	ad	control	279.00	1.720	0.08543	++++-+++
AHSG|ENSG00000145192	ad	control	62.00	-0.260	0.7952	?????-+?
LOC105371729|ENSG00000285677	ad	control	62.00	0.546	0.5853	?????-+?
STPG2|ENSG00000163116	ad	control	173.00	-1.223	0.2215	-+++---?
HELZ|ENSG00000198265	ad	control	173.00	-1.890	0.0588	-----++?
FOXRED1|ENSG00000110074	ad	control	279.00	2.070	0.03841	++++++++
MDGA2|ENSG00000139915	ad	control	279.00	1.283	0.1996	+++++--+
HNRNPMP1|ENSG00000259335	ad	control	62.00	-0.295	0.7678	?????--?
