MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
DDX54|ENSG00000123064	ad	control	687.0	0.323	0.7464	----+--+---+-+	0.9992687041810332
KCNK1|ENSG00000135750	ad	control	687.0	1.045	0.296	+++++----++--+	0.7312366815108032
INAFM1|ENSG00000257704	ad	control	687.0	-0.407	0.6841	-+-++--------+	0.9992687041810332
A2M|ENSG00000175899	ad	control	204.0	-2.991	0.002782	+------?+?????	0.04862169894982498
INSYN2A|ENSG00000188916	ad	control	687.0	0.553	0.5799	+---+-----++++	0.989797159413703
GAD2|ENSG00000136750	ad	control	687.0	3.822	0.0001322	+++++----+++++	0.007685622393822394
SLC25A15P3|ENSG00000251299	ad	control	424.0	0.325	0.7449	?????????++-+?	0.9992687041810332
ELMO2|ENSG00000062598	ad	control	687.0	0.659	0.5101	++++-----+++++	0.9436038278693586
BLMH|ENSG00000108578	ad	control	687.0	2.156	0.0311	+++++--++-++++	0.20540691205642495
SNORD14A|ENSG00000272034	ad	control	124.0	1.193	0.233	?????++-+?????	0.6462131284140358
GPR4|ENSG00000177464	ad	control	263.0	-4.275	1.91e-05	-------++????-	0.0021838152671755724
ZNF516|ENSG00000101493	ad	control	235.0	-3.854	0.0001162	---------?????	0.007204142331288343
RPS24P19|ENSG00000227008	ad	control	124.0	2.158	0.0309	?????++++?????	0.20478769911504424
RPL23AP93|ENSG00000232873	ad	control	62.0	-0.213	0.8312	???????--?????	0.9992687041810332
RGL1|ENSG00000143344	ad	control	235.0	0.055	0.9565	++++---++?????	0.9992687041810332
OR7E121P|ENSG00000244222	ad	control	31.0	-0.009	0.9932	????????-?????	0.9992687041810332
SNCA-AS1|ENSG00000247775	ad	control	576.0	1.889	0.05884	?????-++-++-++	0.29728639568223986
ATP6V0C|ENSG00000185883	ad	control	687.0	1.418	0.1563	+++++----+---+	0.5204671854157403
SDC2|ENSG00000169439	ad	control	687.0	-2.483	0.01304	---------++-+-	0.12260710608914
ARHGAP42P2|ENSG00000231147	ad	control	62.0	-0.435	0.6637	?????--???????	0.9992687041810332
FBXW10B|ENSG00000241322	ad	control	124.0	1.803	0.07132	?????++++?????	0.3331921846249805
BCL6B|ENSG00000161940	ad	control	263.0	-4.877	1.079e-06	-------++????-	0.0003298216734693878
PACRG-AS3|ENSG00000225683	ad	control	163.0	4.937	7.951e-07	????+++++?????	0.00028334851764705884
SLC25A28-DT|ENSG00000260475	ad	control	576.0	-0.33	0.7416	?????-----+++-	0.9992687041810332
ARHGAP29-AS1|ENSG00000226835	ad	control	514.0	-1.609	0.1077	???????++---+-	0.42250670508119437
BNIP3P46|ENSG00000271179	ad	control	62.0	0.293	0.7699	??????+?+?????	0.9992687041810332
MTND4LP8|ENSG00000284328	ad	control	31.0	-0.203	0.8388	?????-????????	0.9992687041810332
OOSP1P2|ENSG00000263749	ad	control	31.0	-0.142	0.8868	??????-???????	0.9992687041810332
HES4|ENSG00000188290	ad	control	263.0	-2.28	0.02259	----+----????-	0.17097171298635674
THG1L|ENSG00000113272	ad	control	687.0	0.212	0.8324	+-++-+-++-+++-	0.9992687041810332
RRM2B|ENSG00000048392	ad	control	687.0	0.965	0.3343	++++-----+++++	0.7796862971037061
PSME2P6|ENSG00000227462	ad	control	31.0	-0.082	0.9348	????????-?????	0.9992687041810332
ACOX2|ENSG00000168306	ad	control	687.0	-2.722	0.006496	--+-----------	0.08064408454206382
CARD10|ENSG00000100065	ad	control	263.0	-3.509	0.00045	--------+????-	0.01587773851590106
STBD1|ENSG00000118804	ad	control	235.0	0.178	0.8587	+--++---+?????	0.9992687041810332
USP54|ENSG00000166348	ad	control	687.0	-0.513	0.6078	-----++++-++--	0.9992687041810332
