MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
TMEM167AP2|ENSG00000256210	ad	control	31.00	-0.089	0.9294	?-?
PTPN23-DT|ENSG00000260236	ad	control	176.00	0.250	0.8022	++-
PTGES2|ENSG00000148334	ad	control	176.00	0.877	0.3805	+-+
ARL8B|ENSG00000134108	ad	control	176.00	-0.319	0.7499	--+
TENM4|ENSG00000149256	ad	control	176.00	-1.130	0.2583	+--
GLT6D1|ENSG00000204007	ad	control	31.00	-0.221	0.8254	?-?
ABRACL|ENSG00000146386	ad	control	176.00	0.381	0.7028	+-+
DGAT2|ENSG00000062282	ad	control	70.00	-3.349	0.0008125	--?
PARP4|ENSG00000102699	ad	control	176.00	-0.839	0.4016	-+-
LRRC32|ENSG00000137507	ad	control	176.00	-0.219	0.8268	-+-
WFIKKN2|ENSG00000173714	ad	control	31.00	3.061	0.002208	?+?
FOXF2|ENSG00000137273	ad	control	70.00	-0.721	0.4711	-+?
PRICKLE1|ENSG00000139174	ad	control	176.00	0.469	0.6393	+-+
AAK1|ENSG00000115977	ad	control	176.00	0.515	0.6063	+-+
CAMTA2|ENSG00000108509	ad	control	70.00	0.974	0.3303	+-?
TMEM167A|ENSG00000174695	ad	control	176.00	-0.078	0.9378	-++
TRIM26|ENSG00000231002	ad	control	176.00	-0.131	0.8959	-+-
CFAP43|ENSG00000197748	ad	control	176.00	-0.646	0.5186	--+
CYB5AP2|ENSG00000214369	ad	control	31.00	-0.573	0.5667	?-?
FAM216A|ENSG00000204856	ad	control	176.00	0.551	0.5818	+-+
GPA33|ENSG00000143167	ad	control	31.00	-0.352	0.7249	?-?
TRAPPC3L|ENSG00000173626	ad	control	31.00	-0.673	0.501	?-?
GRAP|ENSG00000154016	ad	control	70.00	-0.315	0.7528	-+?
SIK1|ENSG00000142178	ad	control	70.00	2.107	0.03514	++?
PCOLCE-AS1|ENSG00000224729	ad	control	31.00	-1.302	0.1929	?-?
RPL21P1|ENSG00000214760	ad	control	31.00	0.323	0.7468	?+?
IFRD1|ENSG00000006652	ad	control	176.00	-1.817	0.06915	---
LOC105373525|ENSG00000236109	ad	control	31.00	-0.242	0.8088	?-?
MBNL1-AS1|ENSG00000229619	ad	control	176.00	1.249	0.2117	+++
RIMS4|ENSG00000101098	ad	control	176.00	0.408	0.683	+-+
RPL13AP8|ENSG00000226945	ad	control	31.00	0.565	0.5722	?+?
PMEL|ENSG00000185664	ad	control	31.00	0.054	0.9567	?+?
CTNS|ENSG00000040531	ad	control	70.00	-2.039	0.04141	-+?
RPL10P6|ENSG00000230076	ad	control	137.00	0.228	0.8199	?++
BATF3|ENSG00000123685	ad	control	176.00	-0.985	0.3247	+--
ST6GAL1|ENSG00000073849	ad	control	70.00	-2.423	0.01539	-+?
RPRM|ENSG00000177519	ad	control	176.00	-0.868	0.3856	+--
SNORD17|ENSG00000212232	ad	control	176.00	1.392	0.164	+++
PIK3IP1-DT|ENSG00000228839	ad	control	137.00	0.585	0.5583	?++
LOC100506271|ENSG00000237862	ad	control	31.00	-2.350	0.01875	?-?
