MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
GHITM|ENSG00000165678	ad	control	279.0	2.069	0.03857	+++++--+	0.20352252252252254
LOC105372281|ENSG00000267424	ad	control	31.0	-0.063	0.9499	??????-?	0.9991427871662993
H1-7|ENSG00000187166	ad	control	31.0	0.139	0.8892	??????+?	0.9991427871662993
MTCO1P1|ENSG00000280243	ad	control	106.0	0.371	0.711	???????+	0.9991427871662993
GALP|ENSG00000197487	ad	control	62.0	-0.438	0.6611	?????--?	0.9935251007695126
SOX10|ENSG00000100146	ad	control	279.0	-0.27	0.7873	----+++-	0.9991427871662993
SSR3|ENSG00000114850	ad	control	279.0	0.407	0.6841	++-++--+	0.9991427871662993
Y_RNA|ENSG00000200170	ad	control	62.0	1.246	0.2129	?????++?	0.577308201058201
LOC101928016|ENSG00000253550	ad	control	106.0	0.05	0.96	???????+	0.9991427871662993
FAM86EP|ENSG00000251669	ad	control	207.0	-0.736	0.4617	????+---	0.8680504421880119
ADSL|ENSG00000239900	ad	control	279.0	-0.531	0.5953	+--+-++-	0.9608625730994154
LINC03049|ENSG00000271109	ad	control	62.0	-0.383	0.7016	?????+-?	0.9991427871662993
LOC105379699|ENSG00000226454	ad	control	62.0	-1.253	0.2104	?????--?	0.5736728101843056
MTND6P25|ENSG00000255316	ad	control	31.0	0.216	0.829	??????+?	0.9991427871662993
CD300H|ENSG00000291925	ad	control	31.0	-0.254	0.7998	??????-?	0.9991427871662993
TICAM2|ENSG00000243414	ad	control	173.0	-0.454	0.6499	+--+--+?	0.9913907636711485
VPREB3|ENSG00000128218	ad	control	62.0	-0.909	0.3633	?????-+?	0.7756814462133611
RAB9AP5|ENSG00000231423	ad	control	106.0	0.02	0.984	???????+	0.9991427871662993
ELOVL5|ENSG00000012660	ad	control	279.0	-2.056	0.03979	+-------	0.20763145454545454
FUNDC1|ENSG00000069509	ad	control	279.0	2.397	0.01655	+++++--+	0.11803802186878727
MIR5010|ENSG00000283929	ad	control	62.0	0.378	0.7056	?????-+?	0.9991427871662993
RNU6-39P|ENSG00000207072	ad	control	62.0	0.542	0.588	?????++?	0.9568293927538697
IGLV3-21|ENSG00000211662	ad	control	62.0	-0.114	0.9091	?????--?	0.9991427871662993
ZDBF2|ENSG00000283649	ad	control	279.0	3.284	0.001023	+++++--+	0.019665170797052912
PGLS-DT|ENSG00000269439	ad	control	279.0	-4.472	7.733e-06	------+-	0.0008971064516129032
AKAP17BP|ENSG00000214992	ad	control	62.0	-0.095	0.9244	?????+-?	0.9991427871662993
PITHD1|ENSG00000057757	ad	control	279.0	2.035	0.04185	+++++--+	0.2142899197145406
CMAS|ENSG00000111726	ad	control	279.0	3.714	0.0002038	++++++++	0.0068012325581395345
ME3|ENSG00000151376	ad	control	173.0	2.996	0.002738	+++++--?	0.03741933333333333
PCDHGA12|ENSG00000253159	ad	control	279.0	-4.745	2.08e-06	--------	0.00040926986301369867
ANKRD20A19P|ENSG00000196593	ad	control	168.0	-0.21	0.834	?????--+	0.9991427871662993
ATP8B5P|ENSG00000179766	ad	control	62.0	0.506	0.6129	?????-+?	0.9698489775671058
TMEM109|ENSG00000110108	ad	control	173.0	-2.137	0.03263	------+?	0.1829779210629152
TNIP3|ENSG00000050730	ad	control	134.0	1.84	0.06575	++++?+-?	0.2859562054856796
ADIRF|ENSG00000148671	ad	control	173.0	-1.28	0.2006	----+--?	0.5578161030907858
PAGE2B|ENSG00000238269	ad	control	31.0	-0.296	0.7669	??????-?	0.9991427871662993
SORBS3|ENSG00000120896	ad	control	279.0	-1.267	0.2052	----+++-	0.5647525891829689
RNR1|ENSG00000211459	ad	control	101.0	1.822	0.06847	????+++?	0.2939979057591623
MEI1|ENSG00000167077	ad	control	62.0	-0.739	0.4598	?????--?	0.8662942296330335
OSER1|ENSG00000132823	ad	control	173.0	-1.318	0.1876	-+---++?	0.5374445997205031
FAM32A|ENSG00000105058	ad	control	279.0	-0.399	0.6897	+++----+	0.9991427871662993
MYH13|ENSG00000006788	ad	control	62.0	-0.504	0.6145	?????--?	0.9709397709755562
GSG1L2|ENSG00000214978	ad	control	62.0	-0.262	0.7935	?????--?	0.9991427871662993
TSN|ENSG00000211460	ad	control	173.0	2.528	0.01148	++++---?	0.09362773515203184
MIR4254|ENSG00000266580	ad	control	62.0	0.151	0.8799	?????++?	0.9991427871662993
ITGB5|ENSG00000082781	ad	control	173.0	-2.773	0.005552	-----++?	0.059191084695393754
MT1M|ENSG00000205364	ad	control	279.0	-0.707	0.4794	-----+++	0.882765302194277
C3orf52|ENSG00000114529	ad	control	62.0	-1.7	0.08915	?????--?	0.3451510859301227
LOC105377213|ENSG00000214915	ad	control	31.0	0.44	0.6597	??????+?	0.9935251007695126
MTND1P32|ENSG00000232282	ad	control	31.0	0.022	0.9827	??????+?	0.9991427871662993
HIPK2|ENSG00000064393	ad	control	279.0	-1.321	0.1865	----+++-	0.5357907907907907
FRMPD1|ENSG00000070601	ad	control	279.0	0.99	0.3223	++++++--	0.7310527147712004
RPS27P25|ENSG00000239881	ad	control	62.0	1.413	0.1576	?????++?	0.48756278969494443
EIF4G1|ENSG00000114867	ad	control	279.0	-1.101	0.2711	-----++-	0.663719621386544
PEG13|ENSG00000282164	ad	control	101.0	-0.099	0.9213	????+--?	0.9991427871662993
RPL9P28|ENSG00000242067	ad	control	31.0	0.214	0.8307	??????+?	0.9991427871662993
TMT1B|ENSG00000170439	ad	control	279.0	-2.201	0.02773	-----++-	0.1650458316051431
