MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
EZR|ENSG00000092820	ad	control	173.0	-3.415	0.000637	-----++?	0.014474980205859064
SPARC|ENSG00000113140	ad	control	279.0	-3.456	0.0005481	-----+-+	0.013108725000000002
UCHL1|ENSG00000154277	ad	control	173.0	2.861	0.004227	+++++--?	0.049862268803945745
R3HDM2|ENSG00000179912	ad	control	173.0	3.371	0.0007485	+++++++?	0.016102097378277152
ABCB6|ENSG00000115657	ad	control	279.0	-3.186	0.001442	--------	0.024416165191740412
CD2AP|ENSG00000198087	ad	control	173.0	-3.709	0.0002079	-----++?	0.0068919723183390996
RADIL|ENSG00000157927	ad	control	173.0	-4.724	2.307e-06	-----+-?	0.0004217254777070064
NUPR1|ENSG00000176046	ad	control	279.0	-3.662	0.0002506	-----++-	0.007800672451193059
SLC35G6|ENSG00000259224	ad	control	103.0	-2.947	0.003205	----??+?	0.04143400900900901
CADM2|ENSG00000175161	ad	control	173.0	3.413	0.0006415	+++++--?	0.01454722748815166
COL8A2|ENSG00000171812	ad	control	279.0	-4.451	8.534e-06	------+-	0.0009459918918918918
PTPRG|ENSG00000144724	ad	control	173.0	-3.304	0.0009538	-------?	0.01886565127498277
ZIC1|ENSG00000152977	ad	control	279.0	-4.314	1.6e-05	------+-	0.0014765273311897105
ZNF385D|ENSG00000151789	ad	control	173.0	3.289	0.001007	+++++--?	0.019507484828051248
SCFD1|ENSG00000092108	ad	control	279.0	3.993	6.527e-05	+++++--+	0.003386703237410072
TMED5|ENSG00000117500	ad	control	279.0	-4.413	1.019e-05	-------+	0.0010751948529411765
ALS2|ENSG00000003393	ad	control	279.0	4.776	1.786e-06	++++++++	0.0003854
SGTB|ENSG00000197860	ad	control	279.0	2.889	0.003869	+++++--+	0.04711086126431905
SLC22A7|ENSG00000137204	ad	control	134.0	-2.866	0.004154	----?--?	0.049154369332234125
LOX|ENSG00000113083	ad	control	173.0	-3.113	0.001853	-------?	0.028965740740740743
ADAMTS2|ENSG00000087116	ad	control	279.0	-5.117	3.098e-07	-----++-	0.00012179808219178082
SLC6A16|ENSG00000063127	ad	control	134.0	-3.338	0.000844	----?++?	0.017320521801286633
GXYLT1|ENSG00000151233	ad	control	279.0	-3.324	0.000888	-------+	0.01798560338743825
MRC1|ENSG00000260314	ad	control	279.0	-3.079	0.00208	-------+	0.03099242738589212
VIM|ENSG00000026025	ad	control	173.0	-3.866	0.0001108	-------?	0.004683298969072164
P4HB|ENSG00000185624	ad	control	279.0	-2.89	0.003849	--------	0.04690713375796178
