MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
RBM25|ENSG00000119707	ad	control	235.00	2.034	0.04191	----++-++?????
RNU6-762P|ENSG00000252916	ad	control	93.00	-0.068	0.9454	??????--+?????
SRP68P1|ENSG00000266129	ad	control	424.00	-0.475	0.635	?????????+--+?
RPL31P28|ENSG00000219863	ad	control	31.00	-0.078	0.9381	????????-?????
IL6STP1|ENSG00000227018	ad	control	93.00	-0.469	0.6391	?????--?-?????
RAB8B|ENSG00000166128	ad	control	687.00	-1.248	0.2122	-++------++++-
SEC61B|ENSG00000106803	ad	control	687.00	1.160	0.246	+++++-----++-+
HCG23|ENSG00000225834	ad	control	163.00	5.685	1.307e-08	????+++++?????
CNNM3-DT|ENSG00000273265	ad	control	576.00	-0.752	0.4522	?????-+----+--
LINC02580|ENSG00000230587	ad	control	124.00	-1.154	0.2486	?????----?????
CENATAC-DT|ENSG00000255121	ad	control	196.00	-0.399	0.6898	++--?-++-?????
ENO1|ENSG00000074800	ad	control	235.00	0.400	0.6895	+++++----?????
ZC3H12C|ENSG00000149289	ad	control	687.00	-1.639	0.1012	-----++++-+++-
TATDN3|ENSG00000203705	ad	control	687.00	2.968	0.002999	+++++----+++++
GTF3C2-AS2|ENSG00000234072	ad	control	615.00	1.003	0.3158	????+++++--+-+
LINC02123|ENSG00000250668	ad	control	124.00	-0.014	0.9887	?????++--?????
ATP5MFP5|ENSG00000256103	ad	control	62.00	-0.263	0.7925	?????--???????
KCNJ4|ENSG00000168135	ad	control	687.00	0.188	0.8508	+++++--------+
LRP6|ENSG00000281324	ad	control	687.00	0.317	0.7512	-----++++-+++-
HNRNPUL2|ENSG00000214753	ad	control	235.00	3.021	0.002523	++-++++++?????
MTPAP|ENSG00000107951	ad	control	687.00	0.976	0.3291	-++-++---+++++
C2orf49|ENSG00000135974	ad	control	687.00	0.725	0.4683	+-++-+-++-+++-
DARS2|ENSG00000117593	ad	control	687.00	-1.935	0.05304	++------------
CSF3R|ENSG00000119535	ad	control	687.00	-2.120	0.03399	-----------+--
TMEM208|ENSG00000168701	ad	control	687.00	-0.373	0.709	----+------+++
PLAC9P1|ENSG00000214100	ad	control	124.00	-0.775	0.4382	?????--+-?????
C1QTNF9B|ENSG00000205863	ad	control	576.00	1.059	0.2895	?????+---++-++
TPTE2P6|ENSG00000205822	ad	control	124.00	0.215	0.8299	?????+-++?????
KCTD5P1|ENSG00000224232	ad	control	93.00	-0.274	0.7842	??????---?????
COPB2|ENSG00000184432	ad	control	235.00	2.506	0.01221	++++-++++?????
ADHFE1|ENSG00000147576	ad	control	687.00	1.145	0.2522	+++++-----++++
RDXP1|ENSG00000255387	ad	control	62.00	-0.157	0.8751	??????--??????
LOC100422225|ENSG00000258510	ad	control	424.00	0.320	0.7487	?????????++-+?
NFKBIE|ENSG00000146232	ad	control	687.00	-1.107	0.2682	++-----------+
TMEM139-AS1|ENSG00000231840	ad	control	576.00	1.322	0.1862	?????+-++-++--
